Issn,journal_name,Journal Title Normalized,URL
1872-5457,African Diaspora,african diaspora,https://www.historians.org/publications-and-directories/perspectives-on-history/september-1998/defining-and-studying-the-modern-african-diaspora
0302-9743,Middleware 2007,middleware 2007,https://middleware2007.ics.uci.edu/
1981-8963,Revista de Enfermagem UFPE on line,revista de enfermagem ufpe on line,https://www.ufpe.br/revistaenfermagem
0065-2598,Antimicrobial Peptides,antimicrobial peptides,https://www.frontiersin.org/articles/10.3389/fmicb.2020.582779/full
1229-7801,Journal of the Korean Ceramic Society,journal of the korean ceramic society,https://www.springer.com/journal/43207
0075-8434,Probability and Information Theory II,probability and information theory ii,https://link.springer.com/book/10.1007/BFb0059817
0302-9743,Advances in Artificial Intelligence - SBIA 2008,advances in artificial intelligence - sbia 2008,https://link.springer.com/book/10.1007/978-3-540-88190-2
0968-3445,War in History,war in history,https://journals.sagepub.com/home/wih
2148-5046,Archives of Rheumatology,archives of rheumatology,https://archivesofrheumatology.org/
0302-9743,On the Move to Meaningful Internet Systems: OTM 2019 Conferences,on the move to meaningful internet systems: otm 2019 conferences,https://link.springer.com/book/10.1007/978-3-030-33246-4
0008-4506,Canadian Modern Language Review,canadian modern language review,https://www.utpjournals.press/loi/cmlr
0302-9743,Human Interface and the Management of Information. Designing Information Environments,human interface and the management of information. designing information environments,https://link.springer.com/book/10.1007/978-3-642-02556-3
1366-5278,Health Technol Assess,health technol assess,https://www.journalslibrary.nihr.ac.uk/hta/
0929-600X,TBV - Tijdschrift voor Bedrijfs- en Verzekeringsgeneeskunde,tbv - tijdschrift voor bedrijfs- en verzekeringsgeneeskunde,https://www.springer.com/journal/12498
0302-9743,Rough Sets and Current Trends in Soft Computing,rough sets and current trends in soft computing,https://link.springer.com/book/10.1007/3-540-45554-X
0075-8434,Manifolds — Amsterdam 1970,manifolds — amsterdam 1970,https://link.springer.com/book/10.1007/BFb0068606
1340-5381,Theory and Applications of GIS,theory and applications of gis,https://www.jstage.jst.go.jp/browse/thagis
0302-9743,ECOOP 2009 – Object-Oriented Programming,ecoop 2009 – object-oriented programming,https://link.springer.com/book/10.1007/978-3-642-03013-0
1025-5818,International Journal of Smart Engineering System Design,international journal of smart engineering system design,https://www.tandfonline.com/toc/gses20/current
1865-0929,"Intelligent Computing, Networked Control, and Their Engineering Applications","intelligent computing, networked control, and their engineering applications",https://link.springer.com/book/10.1007/978-981-10-6373-2
0065-2598,Renal Fibrosis: Mechanisms and Therapies,renal fibrosis: mechanisms and therapies,https://link.springer.com/book/10.1007/978-981-13-8871-2
1056-2176,Dynamic Systems and Applications,dynamic systems and applications,https://acadsol.eu/dsa/home
0065-2598,Sodium Calcium Exchange: A Growing Spectrum of Pathophysiological Implications,sodium calcium exchange: a growing spectrum of pathophysiological implications,https://link.springer.com/book/10.1007/978-1-4614-4756-6
0148-5016,Archives of Andrology,archives of andrology,http://journalseek.net/cgi-bin/journalseek/journalsearch.cgi?field=issn&query=0148-5016
0302-9743,"Applying Formal Methods: Testing, Performance, and M/E-Commerce","applying formal methods: testing, performance, and m/e-commerce",https://link.springer.com/book/10.1007/b100825
1865-0929,Advances in Green Energy Systems and Smart Grid,advances in green energy systems and smart grid,https://link.springer.com/book/10.1007/978-981-13-2381-2
0075-8442,Capacitated Planned Maintenance,capacitated planned maintenance,https://link.springer.com/book/10.1007/978-3-319-40289-5
1436-6002,Directed Metallation,directed metallation,https://www.scripps.edu/baran/images/grpmtgpdf/Krawczuk_March_08.pdf
0097-6156,Biocatalysis in Polymer Science,biocatalysis in polymer science,https://cen.acs.org/articles/82/i6/BIOCATALYSIS-POLYMER-SCIENCE.html
0097-6156,Geochemical Transformations of Sedimentary Sulfur,geochemical transformations of sedimentary sulfur,https://pubs.acs.org/isbn/9780841233287
2035-813X,Nephrology Research & Reviews,nephrology research & reviews,https://www.hopkinsmedicine.org/nephrology/research/
0075-8434,Probability Measures on Groups IX,probability measures on groups ix,https://link.springer.com/book/10.1007/BFb0087839
0070-8356,Seaweed Biology,seaweed biology,https://www.sciencedirect.com/science/article/pii/B9780128027721000038
0075-8434,Stochastic PDE’s and Kolmogorov Equations in Infinite Dimensions,stochastic pde’s and kolmogorov equations in infinite dimensions,https://link.springer.com/book/10.1007/BFb0092416
0097-6156,Cellulose Nanocomposites,cellulose nanocomposites,https://www.sciencedirect.com/science/article/pii/S2369969820301122
0097-6156,Surfactant-Enhanced Subsurface Remediation,surfactant-enhanced subsurface remediation,https://pubs.acs.org/doi/pdf/10.1021/bk-1995-0594.ch001
0957-6851,Trends in Media and Communication Research in Malaysia,trends in media and communication research in malaysia,https://benjamins.com/catalog/japc.23.2
0302-9743,IPMU '92—Advanced Methods in Artificial Intelligence,ipmu '92—advanced methods in artificial intelligence,https://link.springer.com/book/10.1007/3-540-56735-6
0075-8434,Factorizable Sheaves and Quantum Groups,factorizable sheaves and quantum groups,https://arxiv.org/abs/q-alg/9712001
0065-2598,Long Non Coding RNA Biology,long non coding rna biology,https://www.nature.com/articles/s41556-019-0311-8
0075-8434,Statistical Mechanics and Fractals,statistical mechanics and fractals,https://link.springer.com/book/10.1007/BFb0074238
1865-0929,Software Foundations for Data Interoperability and Large Scale Graph Data Analytics,software foundations for data interoperability and large scale graph data analytics,https://link.springer.com/book/10.1007/978-3-030-61133-0
2337-5418,Pandecta: Research Law Journal,pandecta: research law journal,https://journal.unnes.ac.id/nju/index.php/pandecta
0066-4758,Mode of Action,mode of action,https://pubs.acs.org/doi/10.1021/acs.est.7b02337
0075-8434,Pseudo-Boolean Methods for Bivalent Programming,pseudo-boolean methods for bivalent programming,https://link.springer.com/book/10.1007/BFb0077204
0302-9743,Modular Ontologies,modular ontologies,https://link.springer.com/book/10.1007/978-3-642-01907-4
0302-9743,Formal Methods for Mobile Computing,formal methods for mobile computing,https://link.springer.com/book/10.1007/b135888
0075-8434,Moment Theory and Some Inverse Problems in Potential Theory and Heat Conduction,moment theory and some inverse problems in potential theory and heat conduction,https://link.springer.com/book/10.1007/b84019
0075-8434,Riemannsche Hilbertmannigfaltigkeiten. Periodische Geodätische,riemannsche hilbertmannigfaltigkeiten. periodische geodätische,https://link.springer.com/book/10.1007/BFb0080917
0303-4216,Optical Information Processing,optical information processing,https://www.sciencedirect.com/topics/materials-science/optical-information-processing
0170-8643,Stochastic Differential Systems Filtering and Control,stochastic differential systems filtering and control,https://link.springer.com/book/10.1007/BFb0003992
0170-8643,Advances in Communications and Signal Processing,advances in communications and signal processing,https://link.springer.com/book/10.1007/BFb0042713
1559-0410,jqas,jqas,https://jqas.org/
0931-7597,ChemInform,cheminform,https://onlinelibrary.wiley.com/journal/15222667
0008-4239,Canadian Journal of Political Science,canadian journal of political science,https://www.cambridge.org/core/journals/canadian-journal-of-political-science-revue-canadienne-de-science-politique
0145-7217,The Diabetes Educator,the diabetes educator,https://journals.sagepub.com/home/tde
1541-7786,Molecular Cancer Research,molecular cancer research,https://mcr.aacrjournals.org/
1746-6474,International Journal of Productivity and Quality Management,international journal of productivity and quality management,https://www.inderscience.com/jhome.php?jcode=ijpqm
0021-8758,Journal of American Studies,journal of american studies,https://www.cambridge.org/core/journals/journal-of-american-studies
0021-4434,Transactions of the Japan Institute of Metals,transactions of the japan institute of metals,https://www.jstage.jst.go.jp/browse/matertrans1960
0009-4633,Chinese Studies in History,chinese studies in history,https://www.tandfonline.com/loi/mcsh20
1865-0929,Information Computing and Applications,information computing and applications,https://link.springer.com/book/10.1007/978-3-642-16339-5
0021-4868,Japanese Heart Journal,japanese heart journal,https://www.jstage.jst.go.jp/browse/jhj
1071-2690,In Vitro Cellular & Developmental Biology - Animal,in vitro cellular & developmental biology - animal,https://www.springer.com/journal/11627
1054-7738,Clinical Nursing Research,clinical nursing research,https://journals.sagepub.com/home/cnr
2044-4753,Catal. Sci. Technol.,catal. sci. technol.,https://pubs.rsc.org/en/journals/journal/cy
0030-3887,OPSEARCH,opsearch,https://www.springer.com/journal/12597
0037-0746,Sedimentology,sedimentology,https://onlinelibrary.wiley.com/journal/13653091
2044-3994,International Data Privacy Law,international data privacy law,https://academic.oup.com/idpl
0195-928X,International Journal of Thermophysics,international journal of thermophysics,https://www.springer.com/journal/10765
1007-6417,Journal of Shanghai University (English Edition),journal of shanghai university (english edition),https://link.springer.com/journal/11741/volumes-and-issues
1067-828X,Journal of Child & Adolescent Substance Abuse,journal of child & adolescent substance abuse,https://www.springer.com/journal/10826
1048-891X,International Journal of Gynecological Cancer,international journal of gynecological cancer,https://ijgc.bmj.com/
0722-1541,Nervenheilkunde,nervenheilkunde,https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00034916
2365-709X,Advanced Materials Technologies,advanced materials technologies,https://onlinelibrary.wiley.com/journal/2365709X
1687-7063,Current Gerontology and Geriatrics Research,current gerontology and geriatrics research,https://www.hindawi.com/journals/cggr/
1741-3591,International Journal of Disclosure and Governance,international journal of disclosure and governance,http://www.palgrave.com/gp/journal/41310
2168-6076,JAMA Facial Plastic Surgery,jama facial plastic surgery,https://jamanetwork.com/collections/5644/facial-plastic-surgery
1043-9862,Journal of Contemporary Criminal Justice,journal of contemporary criminal justice,https://journals.sagepub.com/home/ccj
1747-0161,Research Ethics,research ethics,https://www.niehs.nih.gov/research/resources/bioethics/whatis/index.cfm
0169-2968,Fundamenta Informaticae,fundamenta informaticae,https://fi.episciences.org/
0935-4956,The Astronomy and Astrophysics Review,the astronomy and astrophysics review,https://www.springer.com/journal/159
1092-8472,Current Treatment Options in Gastroenterology,current treatment options in gastroenterology,https://www.springer.com/journal/11938
0392-6672,International Journal of Speleology,international journal of speleology,https://digitalcommons.usf.edu/ijs/
0352-3462,Ekonomika poljoprivrede,ekonomika poljoprivrede,https://scindeks.ceon.rs/journaldetails.aspx?issn=0352-3462&lang=en
1537-7903,Journal of Applied School Psychology,journal of applied school psychology,https://www.tandfonline.com/toc/wapp20/current
1545-1712,Obesity Management,obesity management,https://www.mayoclinic.org/diseases-conditions/obesity/diagnosis-treatment/drc-20375749
0023-5679,The Kurume Medical Journal,the kurume medical journal,https://www.jstage.jst.go.jp/browse/kurumemedj
2045-9831,Nanomaterials and Energy,nanomaterials and energy,https://www.icevirtuallibrary.com/toc/jnaen/current
0082-6049,Travaux de linguistique,travaux de linguistique,https://www.cairn.info/revue-travaux-de-linguistique.htm
1754-8403,Disease Models & Mechanisms,disease models & mechanisms,https://journals.biologists.com/dmm
1433-7851,Angewandte Chemie,angewandte chemie,https://onlinelibrary.wiley.com/journal/15213773
1027-3662,Journal of Theoretical Medicine,journal of theoretical medicine,https://www.springer.com/journal/11017
0229-8651,Recherches sémiotiques,recherches sémiotiques,https://www.erudit.org/en/journals/rssi/
2348-7852,International Journal of Research and Engineering,international journal of research and engineering,https://www.ijres.org/
0276-3915,Community & Junior College Libraries,community & junior college libraries,https://www.imdb.com/title/tt1439629/
1535-0770,Journal of Intergenerational Relationships,journal of intergenerational relationships,https://www.tandfonline.com/toc/wjir20/current
2008-1898,The Journal of Nonlinear Sciences and Applications,the journal of nonlinear sciences and applications,https://www.isr-publications.com/jnsa
1254-728X,Histoire & Sociétés Rurales,histoire & sociétés rurales,https://www.collinsdictionary.com/us/dictionary/french-english/histoire
1865-0929,Education and Management,education and management,https://journals.sagepub.com/home/mie
1535-6523,Hallym International Journal of Aging,hallym international journal of aging,https://www.psc.isr.umich.edu/dis/infoserv/journal/detail/1244.html
2548-3161,International Journal of Advances in Intelligent Informatics,international journal of advances in intelligent informatics,https://ijain.org/
0171-2004,Pharmacology of the Skin I,pharmacology of the skin i,https://link.springer.com/book/10.1007/978-3-642-73797-8
0302-9743,Human Interface and the Management of Information. Information and Knowledge Design and Evaluation,human interface and the management of information. information and knowledge design and evaluation,https://link.springer.com/book/10.1007/978-3-319-07731-4
1860-949X,Creative Space,creative space,https://www.facebook.com/crystalcity315/
2046-9128,The Review of Corporate Finance Studies,the review of corporate finance studies,https://academic.oup.com/rcfs
0302-9743,Trusted Computing,trusted computing,https://trustedcomputinggroup.org/
0075-8434,Nonlinear Problems in the Physical Sciences and Biology,nonlinear problems in the physical sciences and biology,https://link.springer.com/book/10.1007/BFb0060558
0075-8434,Local Features in Natural Images via Singularity Theory,local features in natural images via singularity theory,https://www.springer.com/gp/book/9783319414706
0302-9743,«UML» 2003 - The Unified Modeling Language. Modeling Languages and Applications,«uml» 2003 - the unified modeling language. modeling languages and applications,https://link.springer.com/book/10.1007/b14063
0302-9743,SOFSEM 2013: Theory and Practice of Computer Science,sofsem 2013: theory and practice of computer science,https://link.springer.com/book/10.1007/978-3-642-35843-2
0387-0952,The Journal of Auto-Nomic Nervous System,the journal of auto-nomic nervous system,https://www.sciencedirect.com/journal/journal-of-the-autonomic-nervous-system
0065-2598,Biostatistics for Human Genetic Epidemiology,biostatistics for human genetic epidemiology,https://link.springer.com/book/10.1007/978-3-319-93791-5
1478-2715,The Journal of the Royal College of Physicians od Edinburgh,the journal of the royal college of physicians od edinburgh,https://www.rcpe.ac.uk/college/journal-royal-college-physicians-edinburgh
1865-0929,E-Democracy – Citizen Rights in the World of the New Computing Paradigms,e-democracy – citizen rights in the world of the new computing paradigms,https://link.springer.com/book/10.1007/978-3-319-27164-4
0302-9743,Artificial Neural Networks and Machine Learning – ICANN 2019: Deep Learning,artificial neural networks and machine learning – icann 2019: deep learning,https://link.springer.com/book/10.1007/978-3-030-30484-3
1566-6166,"Psychopraxis, jaargang 2007","psychopraxis, jaargang 2007",https://www.grafiati.com/en/literature-selections/select/journal/
1932-1252,Synthesis Lectures on Computational Electromagnetics,synthesis lectures on computational electromagnetics,https://www.morganclaypool.com/toc/cem/1/1
0075-8434,Homotopy Theory and Related Topics,homotopy theory and related topics,https://link.springer.com/book/10.1007/BFb0083687
0097-6156,Quorum Sensing: Microbial Rules of Life,quorum sensing: microbial rules of life,https://pubs.acs.org/isbn/9780841298606
0302-9743,Scientific Engineering of Distributed Java Applications,scientific engineering of distributed java applications,https://link.springer.com/book/10.1007/b106620
1865-0929,Databases and Information Systems,databases and information systems,https://en.wikiversity.org/wiki/Information_Systems/Databases
1075-5535,The Journal of Alternative and Complementary Medicine,the journal of alternative and complementary medicine,https://home.liebertpub.com/publications/journal-of-alternative-and-complementary-medicine-the/26/overview
0075-8434,Translation Planes,translation planes,https://www.math.uni-kiel.de/geometrie/klein/math/geometry/translation.html
1384-6655,Errors and Disfluencies in Spoken Corpora,errors and disfluencies in spoken corpora,https://benjamins.com/catalog/bct.52
0075-8434,The Selberg-Arthur Trace Formula,the selberg-arthur trace formula,http://www.claymath.org/library/cw/arthur/pdf/62.pdf
1554-0626,Quarterly Journal of Political Science,quarterly journal of political science,https://www.nowpublishers.com/QJPS
0097-6156,Deactivation and Testing of Hydrocarbon-Processing Catalysts,deactivation and testing of hydrocarbon-processing catalysts,https://pubs.acs.org/doi/10.1021/ef970021n
0097-6156,Fire and Polymers IV,fire and polymers iv,https://www.politics-prose.com/book/9780841239487
0340-4773,Progress in Botany,progress in botany,https://www.springer.com/series/124
0075-8434,H-Spaces,h-spaces,https://mathworld.wolfram.com/H-Space.html
0097-6156,Advances in Plant Phenolics: From Chemistry to Human Health,advances in plant phenolics: from chemistry to human health,https://pubs.acs.org/isbn/9780841232969
0302-9743,"Abstraction, Reformulation, and Approximation","abstraction, reformulation, and approximation",https://link.springer.com/book/10.1007/3-540-44914-0
1860-949X,"Artificial Intelligence, Evolutionary Computing and Metaheuristics","artificial intelligence, evolutionary computing and metaheuristics",https://link.springer.com/book/10.1007/978-3-642-29694-9
0302-9743,Mathematical Foundations of Computer Science,mathematical foundations of computer science,https://www.mccormick.northwestern.edu/computer-science/academics/courses/descriptions/212.html
1976-9067,International Journal of Railway,international journal of railway,https://www.tandfonline.com/toc/tjrt20/current
0170-8406,Organization Studies,organization studies,https://journals.sagepub.com/home/oss
1865-0929,Computer Vision Applications,computer vision applications,https://viso.ai/applications/computer-vision-applications/
1526-8209,Clinical Breast Cancer,clinical breast cancer,https://www.journals.elsevier.com/clinical-breast-cancer
0303-4240,"Reviews of Physiology, Biochemistry and Pharmacology, Vol. 173","reviews of physiology, biochemistry and pharmacology, vol. 173",https://link.springer.com/book/10.1007/978-3-319-61367-3
0035-3906,Les prépositions complexes dans les langues romanes,les prépositions complexes dans les langues romanes,https://benjamins.com/catalog/rro.54.1
0075-8434,Homotopical Algebra,homotopical algebra,https://link.springer.com/book/10.1007/BFb0097438
0270-5346,Camera Obscura,camera obscura,https://www.britannica.com/technology/camera-obscura-photography
0732-183X,Journal of Clinical Oncology,journal of clinical oncology,https://ascopubs.org/journal/jco/
0039-8322,TESOL Quarterly,tesol quarterly,https://onlinelibrary.wiley.com/journal/15457249
0026-9247,Monatshefte f�r Chemie / Chemical Monthly,monatshefte f�r chemie / chemical monthly,https://www.springer.com/journal/706
1751-4517,Photography and Culture,photography and culture,https://www.tandfonline.com/toc/rfpc20/current
1540-3009,Dao,dao,https://ethereum.org/en/dao/
1368-5201,Journal of Money Laundering Control,journal of money laundering control,https://www.emerald.com/insight/publication/issn/1368-5201
1750-743X,Immunotherapy,immunotherapy,https://www.cancer.gov/about-cancer/treatment/types/immunotherapy
0733-9437,Journal of Irrigation and Drainage Engineering,journal of irrigation and drainage engineering,https://ascelibrary.org/journal/jidedh
0010-5422,The Condor,the condor,https://www.imdb.com/title/tt6510950/
0301-5556,"Advances in Anatomy, Embryology and Cell Biology","advances in anatomy, embryology and cell biology",https://www.springer.com/series/102
1063-6560,Evolutionary Computation,evolutionary computation,https://direct.mit.edu/evco
2091-0576,Asian Journal of Medical Sciences,asian journal of medical sciences,https://www.nepjol.info/index.php/AJMS
0001-1541,AIChE Journal,aiche journal,https://aiche.onlinelibrary.wiley.com/journal/15475905
0167-238X,Dth,dth,https://www.dailytarheel.com/
0363-907X,International Journal of Energy Research,international journal of energy research,https://onlinelibrary.wiley.com/journal/1099114x
2195-268X,International Journal of Dynamics and Control,international journal of dynamics and control,https://www.springer.com/journal/40435
2277-9779,South Asian Journal of Business and Management Cases,south asian journal of business and management cases,https://journals.sagepub.com/home/bmc
1529-3785,ACM Transactions on Computational Logic,acm transactions on computational logic,https://dl.acm.org/journal/tocl
0014-1704,Ethics,ethics,https://www.scu.edu/ethics/ethics-resources/ethical-decision-making/what-is-ethics/
0026-3206,Middle Eastern Studies,middle eastern studies,https://www.tandfonline.com/toc/fmes20/current
0378-5920,The World Economy,the world economy,https://onlinelibrary.wiley.com/journal/14679701
1061-2971,Restoration Ecology,restoration ecology,https://onlinelibrary.wiley.com/journal/1526100x
1364-503X,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences","philosophical transactions of the royal society a: mathematical, physical and engineering sciences",https://royalsocietypublishing.org/journal/rsta
0066-5452,The Mathematical Theory of Time-Harmonic Maxwell's Equations,the mathematical theory of time-harmonic maxwell's equations,https://link.springer.com/book/10.1007/978-3-319-11086-8
0885-8969,IEEE Transactions on Energy Conversion,ieee transactions on energy conversion,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=60
0885-8985,IEEE Aerospace and Electronic Systems Magazine,ieee aerospace and electronic systems magazine,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=62
0285-1474,Japanese Journal of Cardiovascular Surgery,japanese journal of cardiovascular surgery,https://www.jstage.jst.go.jp/browse/jjcvs
1465-6612,International Journal of Human Resources Development and Management,international journal of human resources development and management,https://www.inderscience.com/jhome.php?jcode=ijhrdm
1383-875X,Journal of Interventional Cardiac Electrophysiology,journal of interventional cardiac electrophysiology,https://www.springer.com/journal/10840
1539-2546,North American Dialogue,north american dialogue,https://www.wiley.com/en-us/North+American+Dialogue-p-j00002496
1077-8306,Invertebrate Biology,invertebrate biology,https://onlinelibrary.wiley.com/journal/17447410
0906-4702,"Acta Agriculturae Scandinavica, Section A — Animal Science","acta agriculturae scandinavica, section a — animal science",https://www.tandfonline.com/toc/saga20/current
0269-9052,Brain Injury,brain injury,https://www.mayoclinic.org/diseases-conditions/traumatic-brain-injury/symptoms-causes/syc-20378557
1534-4320,IEEE Transactions on Neural Systems and Rehabilitation Engineering,ieee transactions on neural systems and rehabilitation engineering,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=7333
0144-1795,Journal of Autonomic Pharmacology,journal of autonomic pharmacology,https://onlinelibrary.wiley.com/journal/14748673
0814-5857,Musicology Australia,musicology australia,https://www.tandfonline.com/toc/rmus20/current
1084-0699,Journal of Hydrologic Engineering,journal of hydrologic engineering,https://ascelibrary.org/journal/jhyeff
0032-1400,Platinum Metals Review,platinum metals review,https://www.technology.matthey.com/about/platinum-metals-review/
0969-5958,International Journal of the Legal Profession,international journal of the legal profession,https://www.tandfonline.com/toc/cijl20/current
1539-0136,Journal for Specialists in Pediatric Nursing,journal for specialists in pediatric nursing,https://onlinelibrary.wiley.com/journal/17446155
0010-9525,Cosmic Research,cosmic research,https://www.springer.com/journal/10604
0008-3674,Canadian Geotechnical Journal,canadian geotechnical journal,https://cdnsciencepub.com/journal/cgj
0380-1721,Cahiers québécois de démographie,cahiers québécois de démographie,https://www.erudit.org/en/journals/cqd/
1468-1811,Sex Education,sex education,https://www.netflix.com/title/80197526
0301-3073,How Gut and Brain Control Metabolism,how gut and brain control metabolism,https://www.karger.com/Book/Home/261501
0957-9265,Discourse & Society,discourse & society,https://www.discourse.org/
1874-1738,Theoretical Ecology,theoretical ecology,https://www.springer.com/journal/12080
1013-7548,South African Theatre Journal,south african theatre journal,https://www.tandfonline.com/toc/rthj20/current
1077-0755,Journal of International Agricultural and Extension Education,journal of international agricultural and extension education,https://www.aiaee.org/index.php/journal
0040-5574,Theatre Survey,theatre survey,https://www.cambridge.org/core/journals/theatre-survey
1465-7503,The International Journal of Entrepreneurship and Innovation,the international journal of entrepreneurship and innovation,https://journals.sagepub.com/home/iei
0040-9480,Japanese Journal of Ornithology,japanese journal of ornithology,https://www.jstage.jst.go.jp/browse/jjo
0017-9124,Health Services Research,health services research,https://www.hsr.org/
0013-872X,Entomological News,entomological news,https://bioone.org/journals/entomological-news/issues
1750-2977,Journal of Intervention and Statebuilding,journal of intervention and statebuilding,https://www.tandfonline.com/toc/risb20/current
1466-7681,Nursing Philosophy,nursing philosophy,https://www.usa.edu/blog/philosophy-of-nursing/
0065-2598,Taurine 11,taurine 11,https://link.springer.com/book/10.1007/978-981-13-8023-5
0302-9743,Parallel Computing Technologies,parallel computing technologies,https://www.omnisci.com/technical-glossary/parallel-computing
0048-5705,Psihologija,psihologija,http://journals4free.com/link.jsp?l=1650591
1050-2556,Journal of Divorce & Remarriage,journal of divorce & remarriage,https://www.tandfonline.com/toc/wjdr20/current
0075-8434,Number Theory Day,number theory day,https://sites.krieger.jhu.edu/antd/
2090-2107,Chemotherapy Research and Practice,chemotherapy research and practice,https://www.hindawi.com/journals/cherp/
0347-0520,The Scandinavian Journal of Economics,the scandinavian journal of economics,https://onlinelibrary.wiley.com/journal/14679442
0097-6156,Tools of Chemistry Education Research,tools of chemistry education research,https://pubs.acs.org/isbn/9780841229402
2047-4970,International Journal of Heritage in the Digital Era,international journal of heritage in the digital era,https://journals.sagepub.com/home/hde
0302-9743,Computational Logic in Multi-Agent Systems,computational logic in multi-agent systems,https://link.springer.com/book/10.1007/978-3-642-02734-5
1752-7066,"Journal of Music, Technology and Education","journal of music, technology and education",https://www.ingentaconnect.com/content/intellect/jmte
0302-9743,Advances in Artificial Intelligence - IBERAMIA 2016,advances in artificial intelligence - iberamia 2016,https://link.springer.com/book/10.1007/978-3-319-47955-2
0302-9743,"Rough Sets, Fuzzy Sets, Data Mining and Granular Computing","rough sets, fuzzy sets, data mining and granular computing",https://link.springer.com/book/10.1007/11548706
0794-5698,Nigerian Journal of Basic and Applied Sciences,nigerian journal of basic and applied sciences,https://www.ajol.info/index.php/njbas
1865-0929,Formalising Natural Languages: Applications to Natural Language Processing and Digital Humanities,formalising natural languages: applications to natural language processing and digital humanities,https://link.springer.com/book/10.1007/978-3-030-70629-6
0302-9743,Advances in Cryptology - CRYPTO 2006,advances in cryptology - crypto 2006,https://link.springer.com/book/10.1007/11818175
0275-3987,"Psychomusicology: Music, Mind, and Brain","psychomusicology: music, mind, and brain",https://www.apa.org/pubs/journals/pmu
1068-7777,Journal of Infectious Disease Pharmacotherapy,journal of infectious disease pharmacotherapy,https://www.tandfonline.com/loi/wzid20
1865-0929,"Computational Intelligence, Networked Systems and Their Applications","computational intelligence, networked systems and their applications",https://link.springer.com/book/10.1007/978-3-662-45261-5
0747-9662,Journal of Economic and Social Measurement,journal of economic and social measurement,https://www.iospress.com/catalog/journals/journal-of-economic-and-social-measurement
0068-0346,The History of Physics in Cuba,the history of physics in cuba,https://link.springer.com/book/10.1007/978-94-017-8041-4
0931-8771,QSAR & Combinatorial Science,qsar & combinatorial science,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-019-3135-4
1816-0719,The Biologist,the biologist,https://thebiologist.rsb.org.uk/
0010-7999,Beiträge zur Mineralogie und Petrographie,beiträge zur mineralogie und petrographie,https://www.worldcat.org/title/heidelberger-beitrage-zur-mineralogie-und-petrographie/oclc/621719695
1540-4196,Metabolic Syndrome and Related Disorders,metabolic syndrome and related disorders,https://home.liebertpub.com/publications/metabolic-syndrome-and-related-disorders/115/for-authors
0034-7000,Revista Argentina de Cardiologíar,revista argentina de cardiologíar,http://www.old2.sac.org.ar/revista-argentina-de-cardiologia/
0021-4930,Nippon Saikingaku Zasshi,nippon saikingaku zasshi,https://www.jstage.jst.go.jp/browse/jsb
0097-6156,Supercritical Fluid Science and Technology,supercritical fluid science and technology,https://www.sciencedirect.com/bookseries/supercritical-fluid-science-and-technology
1397-002X,The Journal of Peptide Research,the journal of peptide research,https://www.springer.com/journal/10989
2037-7924,"Journal of Educational, Cultural and Psychological Studies (ECPS Journal)","journal of educational, cultural and psychological studies (ecps journal)",https://www.ledonline.it/index.php/ECPS-Journal/
2234-7925,Journal of Advanced Marine Engineering and Technology,journal of advanced marine engineering and technology,http://www.koreascience.or.kr/journal/BOGGBY.page
1540-3416,Current Hepatology Reports,current hepatology reports,https://www.springer.com/journal/11901
1860-949X,Enhanced Bayesian Network Models for Spatial Time Series Prediction,enhanced bayesian network models for spatial time series prediction,https://link.springer.com/book/10.1007/978-3-030-27749-9
0097-6156,Deterioration and Protection of Sustainable Biomaterials,deterioration and protection of sustainable biomaterials,https://pubs.acs.org/isbn/9780841230040
0123-0999,Pensamiento y Cultura,pensamiento y cultura,https://pensamientoycultura.unisabana.edu.co/
0075-8434,The Geometry of Metric and Linear Spaces,the geometry of metric and linear spaces,https://link.springer.com/book/10.1007/BFb0081125
0097-6156,The Chemistry of Acid Rain,the chemistry of acid rain,https://www.epa.gov/acidrain/what-acid-rain
0075-8434,"PGL2 over the p-adics: its Representations, Spherical Functions, and Fourier Analysis","pgl2 over the p-adics: its representations, spherical functions, and fourier analysis",https://link.springer.com/book/10.1007/BFb0059369
0975-9018,International Journal of Software Engineering & Applications,international journal of software engineering & applications,https://www.worldscientific.com/worldscinet/ijseke
0302-9743,"Database: Enterprise, Skills and Innovation","database: enterprise, skills and innovation",https://www.gov.uk/government/organisations/department-for-business-innovation-skills
0302-9743,Virtual Realities,virtual realities,https://www.vrealities.com/
1743-3533,"Monitoring, Simulation, Prevention and Remediation of Dense Debris Flows II","monitoring, simulation, prevention and remediation of dense debris flows ii",https://www.witpress.com/books/978-1-84564-118-4
0075-8434,Hodge Decomposition—A Method for Solving Boundary Value Problems,hodge decomposition—a method for solving boundary value problems,https://link.springer.com/book/10.1007/BFb0095978
0302-9743,Future and Emerging Trends in Language Technology. Machine Learning and Big Data,future and emerging trends in language technology. machine learning and big data,https://link.springer.com/book/10.1007/978-3-319-69365-1
