Journal Title,ISSN,Reason,Journal Title Normalized,URL,Data Source,added,Remove_Date,Add_Date,reason_category,Folder
Journal of Shanghai Normal University (Natural Sciences),1000-5137,Still in DOAJ index,journal of shanghai normal university (natural sciences),http://qktg.shnu.edu.cn/zrb/shsfqkszrben/ch/index.aspx,DOAJ,1.0,1300-01-01 00:00:00,2015-08-28 00:00:00,interesting reason,http:__qktg.shnu.edu.cn_zrb_shsfqkszrben_ch_index.aspx
Journal of Water Science & Environment Technologies,2508-9250,Still in DOAJ index,journal of water science & environment technologies,http://revues.imist.ma/?journal=JOWSET,DOAJ,1.0,1300-01-01 00:00:00,2017-06-21 00:00:00,interesting reason,http:__revues.imist.ma_?journal=JOWSET
Jurnal Akuntansi dan Auditing,1412-6699,Still in DOAJ index,jurnal akuntansi dan auditing,http://ejournal.undip.ac.id/index.php/akuditi,DOAJ,1.0,1300-01-01 00:00:00,2018-04-23 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_akuditi
Jurnal Analisis Bisnis Ekonomi,2579-647X,Still in DOAJ index,jurnal analisis bisnis ekonomi,http://journal.ummgl.ac.id/index.php/bisnisekonomi,DOAJ,1.0,1300-01-01 00:00:00,2018-10-12 00:00:00,interesting reason,http:__journal.ummgl.ac.id_index.php_bisnisekonomi
Jurnal Farmasi Sains dan Praktis,2549-9068,Still in DOAJ index,jurnal farmasi sains dan praktis,http://journal.ummgl.ac.id/index.php/pharmacy/index,DOAJ,1.0,1300-01-01 00:00:00,2019-07-08 00:00:00,interesting reason,http:__journal.ummgl.ac.id_index.php_pharmacy_index
Jurnal Gizi Indonesia: The Indonesian Journal of Nutrition,1858-4942,Still in DOAJ index,jurnal gizi indonesia: the indonesian journal of nutrition,http://ejournal.undip.ac.id/index.php/jgi,DOAJ,1.0,1300-01-01 00:00:00,2018-05-28 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_jgi
Jurnal Hutan Tropis,2337-7771,Still in DOAJ index,jurnal hutan tropis,http://ppjp.unlam.ac.id/journal/index.php/jht,DOAJ,1.0,1300-01-01 00:00:00,2016-12-29 00:00:00,interesting reason,http:__ppjp.unlam.ac.id_journal_index.php_jht
Jurnal Ilmiah Agribisnis,1412-4807,Still in DOAJ index,jurnal ilmiah agribisnis,https://ejurnal.unilak.ac.id/index.php/agr,DOAJ,1.0,1300-01-01 00:00:00,2017-07-21 00:00:00,interesting reason,https:__ejurnal.unilak.ac.id_index.php_agr
Jurnal Ilmu Lingkungan,1829-8907,Still in DOAJ index,jurnal ilmu lingkungan,http://www.ejournal.undip.ac.id/index.php/ilmulingkungan/index,DOAJ,1.0,1300-01-01 00:00:00,2016-12-27 00:00:00,interesting reason,http:__www.ejournal.undip.ac.id_index.php_ilmulingkungan_index
Jurnal Ilmu Sosial,1411-8254,Still in DOAJ index,jurnal ilmu sosial,http://ejournal.undip.ac.id/index.php/ilmusos,DOAJ,1.0,1300-01-01 00:00:00,2017-11-16 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_ilmusos
Jurnal Indo-Islamika,2723-1135,Still in DOAJ index,jurnal indo-islamika,http://journal.uinjkt.ac.id/index.php/indo-islamika,DOAJ,1.0,1300-01-01 00:00:00,2021-06-14 00:00:00,interesting reason,http:__journal.uinjkt.ac.id_index.php_indo-islamika
Jurnal Kimia Sains dan Aplikasi,2597-9914,Still in DOAJ index,jurnal kimia sains dan aplikasi,https://ejournal.undip.ac.id/index.php/ksa/,DOAJ,1.0,1300-01-01 00:00:00,2020-05-19 00:00:00,interesting reason,https:__ejournal.undip.ac.id_index.php_ksa_
Jurnal Ners,1858-3598,Still in DOAJ index,jurnal ners,http://e-journal.unair.ac.id/index.php/JNERS/index,DOAJ,1.0,1300-01-01 00:00:00,2017-07-24 00:00:00,interesting reason,http:__e-journal.unair.ac.id_index.php_JNERS_index
Jurnal Ners dan Kebidanan,2548-3811,Still in DOAJ index,jurnal ners dan kebidanan,https://jnk.phb.ac.id/index.php/jnk/index,DOAJ,1.0,1300-01-01 00:00:00,2019-12-05 00:00:00,interesting reason,https:__jnk.phb.ac.id_index.php_jnk_index
Jurnal Presipitasi,1907-817X,Still in DOAJ index,jurnal presipitasi,http://ejournal.undip.ac.id/index.php/presipitasi,DOAJ,1.0,1300-01-01 00:00:00,2017-01-04 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_presipitasi
Jurnal Promosi Program Studi Pendidikan Ekonomi,2337-4721,Still in DOAJ index,jurnal promosi program studi pendidikan ekonomi,http://fkip.ummetro.ac.id/journal/index.php/ekonomi,DOAJ,1.0,1300-01-01 00:00:00,2017-03-14 00:00:00,interesting reason,http:__fkip.ummetro.ac.id_journal_index.php_ekonomi
Jurnal Psikologi Undip,1693-5586,Still in DOAJ index,jurnal psikologi undip,http://ejournal.undip.ac.id/index.php/psikologi,DOAJ,1.0,1300-01-01 00:00:00,2016-03-28 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_psikologi
Jurnal Sejarah Citra Lekha,2443-0110,Still in DOAJ index,jurnal sejarah citra lekha,http://ejournal.undip.ac.id/index.php/jscl/,DOAJ,1.0,1300-01-01 00:00:00,2017-10-02 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_jscl_
Jurnal Tarbiyah,0854-2627,Still in DOAJ index,jurnal tarbiyah,http://jurnaltarbiyah.uinsu.ac.id/index.php/tarbiyah,DOAJ,1.0,1300-01-01 00:00:00,2018-05-15 00:00:00,interesting reason,http:__jurnaltarbiyah.uinsu.ac.id_index.php_tarbiyah
Jurnal Tarbiyatuna,2086-0889,Still in DOAJ index,jurnal tarbiyatuna,http://journal.ummgl.ac.id/index.php/tarbiyatuna/index,DOAJ,1.0,1300-01-01 00:00:00,2018-04-04 00:00:00,interesting reason,http:__journal.ummgl.ac.id_index.php_tarbiyatuna_index
KLIK: Kumpulan jurnaL Ilmu Komputer,2406-7857,Still in DOAJ index,klik: kumpulan jurnal ilmu komputer,http://klik.unlam.ac.id/index.php/klik/index,DOAJ,1.0,1300-01-01 00:00:00,2016-11-22 00:00:00,interesting reason,http:__klik.unlam.ac.id_index.php_klik_index
Kastamonu Eğitim Dergisi,1300-8811,Still in DOAJ index,kastamonu eğitim dergisi,http://kefdergi.kastamonu.edu.tr,DOAJ,1.0,1300-01-01 00:00:00,2019-06-03 00:00:00,interesting reason,http:__kefdergi.kastamonu.edu.tr
Keguru: Jurnal Ilmu Pendidikan Dasar,2579-9886,Still in DOAJ index,keguru: jurnal ilmu pendidikan dasar,http://jurnal.stkippgri-bkl.ac.id/index.php/KGU,DOAJ,1.0,1300-01-01 00:00:00,2018-03-26 00:00:00,interesting reason,http:__jurnal.stkippgri-bkl.ac.id_index.php_KGU
Kokoro,2171-4959,Still in DOAJ index,kokoro,http://adecjapan.es/biblioteca/revista-kokoro,DOAJ,1.0,1300-01-01 00:00:00,2016-03-11 00:00:00,interesting reason,http:__adecjapan.es_biblioteca_revista-kokoro
Komunika,1978-1261,Still in DOAJ index,komunika,http://ejournal.iainpurwokerto.ac.id/index.php/komunika/,DOAJ,1.0,1300-01-01 00:00:00,2017-07-31 00:00:00,interesting reason,http:__ejournal.iainpurwokerto.ac.id_index.php_komunika_
Law Reform: Jurnal Pembaharuan Hukum,2580-8508,Still in DOAJ index,law reform: jurnal pembaharuan hukum,https://ejournal.undip.ac.id/index.php/lawreform/index,DOAJ,1.0,1300-01-01 00:00:00,2019-10-01 00:00:00,interesting reason,https:__ejournal.undip.ac.id_index.php_lawreform_index
Learning & Teaching in Higher Education: Gulf Perspectives,2077-5504,Still in DOAJ index,learning & teaching in higher education: gulf perspectives,http://lthe.zu.ac.ae/index.php/lthehome,DOAJ,1.0,1300-01-01 00:00:00,2018-04-08 00:00:00,interesting reason,http:__lthe.zu.ac.ae_index.php_lthehome
Lebanese Science Journal,2413-371X,Still in DOAJ index,lebanese science journal,http://www.lsj.cnrs.edu.lb,DOAJ,1.0,1300-01-01 00:00:00,2016-07-19 00:00:00,interesting reason,http:__www.lsj.cnrs.edu.lb
Lectura: Jurnal Pendidikan,2086-4876,Still in DOAJ index,lectura: jurnal pendidikan,https://ejurnal.unilak.ac.id/index.php/lectura,DOAJ,1.0,1300-01-01 00:00:00,2017-07-26 00:00:00,interesting reason,https:__ejurnal.unilak.ac.id_index.php_lectura
Lingue e Linguaggi,2239-0359,Still in DOAJ index,lingue e linguaggi,http://siba-ese.unisalento.it/index.php/linguelinguaggi,DOAJ,1.0,1300-01-01 00:00:00,2016-01-28 00:00:00,interesting reason,http:__siba-ese.unisalento.it_index.php_linguelinguaggi
Mabsya,2714-7797,Still in DOAJ index,mabsya,http://ejournal.iainpurwokerto.ac.id/index.php/mabsya/index,DOAJ,1.0,1300-01-01 00:00:00,2021-03-15 00:00:00,interesting reason,http:__ejournal.iainpurwokerto.ac.id_index.php_mabsya_index
Majallah-i Dānishkadah-i ̒ulūm-i Pizishkī-i Niyshābūr,2383-3203,Still in DOAJ index,majallah-i dānishkadah-i ̒ulūm-i pizishkī-i niyshābūr,http://journal.nums.ac.ir/index.php?&slct_pg_id=10&sid=1&slc_lang=en,DOAJ,1.0,1300-01-01 00:00:00,2017-10-23 00:00:00,interesting reason,http:__journal.nums.ac.ir_index.php?&slct_pg_id=10&sid=1&slc_lang=en
Makara Journal of Science,2339-1995,Still in DOAJ index,makara journal of science,http://journal.ui.ac.id/science,DOAJ,1.0,1300-01-01 00:00:00,2016-12-09 00:00:00,interesting reason,http:__journal.ui.ac.id_science
Masalah-Masalah Hukum,2527-4716,Still in DOAJ index,masalah-masalah hukum,https://ejournal.undip.ac.id/index.php/mmh,DOAJ,1.0,1300-01-01 00:00:00,2019-01-28 00:00:00,interesting reason,https:__ejournal.undip.ac.id_index.php_mmh
"Matemáticas, Educación y Sociedad",2603-9982,Still in DOAJ index,"matemáticas, educación y sociedad",http://mesjournal.es/ojs/index.php/mes,DOAJ,1.0,1300-01-01 00:00:00,2019-04-13 00:00:00,interesting reason,http:__mesjournal.es_ojs_index.php_mes
Materiale și Cercetări Arheologice,0076-5147,Still in DOAJ index,materiale și cercetări arheologice,http://mcajournal.ro,DOAJ,1.0,1300-01-01 00:00:00,2020-10-23 00:00:00,interesting reason,http:__mcajournal.ro
Matraga,1414-7165,Still in DOAJ index,matraga,http://www.e-publicacoes.uerj.br/index.php/matraga/,DOAJ,1.0,1300-01-01 00:00:00,2016-02-10 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_matraga_
Maǧallaẗ al-abḥāṯ al-handasiyyaẗ,2307-1877,Still in DOAJ index,maǧallaẗ al-abḥāṯ al-handasiyyaẗ,http://www.kuwaitjournals.org/jer,DOAJ,1.0,1300-01-01 00:00:00,2018-04-05 00:00:00,interesting reason,http:__www.kuwaitjournals.org_jer
Media Komunikasi Teknik Sipil,0854-1809,Still in DOAJ index,media komunikasi teknik sipil,http://ejournal.undip.ac.id/index.php/mkts,DOAJ,1.0,1300-01-01 00:00:00,2017-09-19 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_mkts
Media Statistika,2477-0647,Still in DOAJ index,media statistika,https://ejournal.undip.ac.id/index.php/media_statistika/index,DOAJ,1.0,1300-01-01 00:00:00,2020-09-29 00:00:00,interesting reason,https:__ejournal.undip.ac.id_index.php_media_statistika_index
Media Trend,1858-1307,Still in DOAJ index,media trend,http://mediatrend.trunojoyo.ac.id/mediatrend,DOAJ,1.0,1300-01-01 00:00:00,2016-05-13 00:00:00,interesting reason,http:__mediatrend.trunojoyo.ac.id_mediatrend
Mediapolis,2183-6019,Still in DOAJ index,mediapolis,https://impactum-journals.uc.pt/mediapolis,DOAJ,1.0,1300-01-01 00:00:00,2019-06-19 00:00:00,interesting reason,https:__impactum-journals.uc.pt_mediapolis
Mikrotik: Jurnal Managemen Informatika,2354-7006,Still in DOAJ index,mikrotik: jurnal managemen informatika,http://ojs.ummetro.ac.id/index.php/mikrotik,DOAJ,1.0,1300-01-01 00:00:00,2017-11-10 00:00:00,interesting reason,http:__ojs.ummetro.ac.id_index.php_mikrotik
Miqot: Jurnal Ilmu-ilmu Keislaman,0852-0720,Still in DOAJ index,miqot: jurnal ilmu-ilmu keislaman,http://jurnalmiqotojs.uinsu.ac.id/index.php/jurnalmiqot,DOAJ,1.0,1300-01-01 00:00:00,2017-07-26 00:00:00,interesting reason,http:__jurnalmiqotojs.uinsu.ac.id_index.php_jurnalmiqot
Modernos & Contemporâneos,2595-1211,Still in DOAJ index,modernos & contemporâneos,https://www.ifch.unicamp.br/ojs/index.php/modernoscontemporaneos,DOAJ,1.0,1300-01-01 00:00:00,2019-02-15 00:00:00,interesting reason,https:__www.ifch.unicamp.br_ojs_index.php_modernoscontemporaneos
Monções,2316-8323,Still in DOAJ index,monções,http://ojs.ufgd.edu.br/index.php/moncoes/index,DOAJ,1.0,1300-01-01 00:00:00,2018-04-25 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_moncoes_index
Moroccan Journal of Quantitative and Qualitative Research,2665-8623,Still in DOAJ index,moroccan journal of quantitative and qualitative research,https://revues.imist.ma/index.php?journal=MJQR,DOAJ,1.0,1300-01-01 00:00:00,2020-02-28 00:00:00,interesting reason,https:__revues.imist.ma_index.php?journal=MJQR
Mural Internacional,2446-6182,Still in DOAJ index,mural internacional,https://www.e-publicacoes.uerj.br/index.php/muralinternacional/index,DOAJ,1.0,1300-01-01 00:00:00,2021-01-06 00:00:00,interesting reason,https:__www.e-publicacoes.uerj.br_index.php_muralinternacional_index
Mutatis Mutandis,2011-799X,Still in DOAJ index,mutatis mutandis,https://aprendeenlinea.udea.edu.co/revistas/index.php/mutatismutandis/index,DOAJ,1.0,1300-01-01 00:00:00,2018-11-16 00:00:00,interesting reason,https:__aprendeenlinea.udea.edu.co_revistas_index.php_mutatismutandis_index
Mutis,2256-1498,Still in DOAJ index,mutis,http://revistas.utadeo.edu.co/index.php/mutis/index,DOAJ,1.0,1300-01-01 00:00:00,2016-02-24 00:00:00,interesting reason,http:__revistas.utadeo.edu.co_index.php_mutis_index
Nauka v Olimpijskom Sporte,1992-788,Still in DOAJ index,nauka v olimpijskom sporte,http://sportnauka.org.ua/en/,DOAJ,1.0,1300-01-01 00:00:00,2016-12-07 00:00:00,interesting reason,http:__sportnauka.org.ua_en_
Nazariyat: Journal for the History of Islamic Philosophy and Sciences,2547-9415,Still in DOAJ index,nazariyat: journal for the history of islamic philosophy and sciences,https://nazariyat.org/en,DOAJ,1.0,1300-01-01 00:00:00,2019-10-14 00:00:00,interesting reason,https:__nazariyat.org_en
Neo-Bis,1978-5275,Still in DOAJ index,neo-bis,http://journal.trunojoyo.ac.id/neo-bis,DOAJ,1.0,1300-01-01 00:00:00,2016-03-28 00:00:00,interesting reason,http:__journal.trunojoyo.ac.id_neo-bis
Neuroimage: Reports,2666-9560,Still in DOAJ index,neuroimage: reports,https://beta-journals.elsevier.com/neuroimage-reports,DOAJ,1.0,1300-01-01 00:00:00,2021-06-18 00:00:00,interesting reason,https:__beta-journals.elsevier.com_neuroimage-reports
Nordic Journal of Science and Technology Studies,1894-4647,Still in DOAJ index,nordic journal of science and technology studies,http://www.nordicsts.org,DOAJ,1.0,1300-01-01 00:00:00,2015-01-07 00:00:00,interesting reason,http:__www.nordicsts.org
Nurse Media: Journal of Nursing,2087-7811,Still in DOAJ index,nurse media: journal of nursing,http://ejournal.undip.ac.id/index.php/medianers/index,DOAJ,1.0,1300-01-01 00:00:00,2015-03-31 00:00:00,interesting reason,http:__ejournal.undip.ac.id_index.php_medianers_index
PALASTReN: Jurnal Studi Gender,1979-6056,Still in DOAJ index,palastren: jurnal studi gender,http://journal.stainkudus.ac.id/index.php/Palastren,DOAJ,1.0,1300-01-01 00:00:00,2016-12-01 00:00:00,interesting reason,http:__journal.stainkudus.ac.id_index.php_Palastren
PROA: Revista de Antropologia e Arte,2175-6015,Still in DOAJ index,proa: revista de antropologia e arte,http://www.revistaproa.com.br,DOAJ,1.0,1300-01-01 00:00:00,2018-04-12 00:00:00,interesting reason,http:__www.revistaproa.com.br
Pakistan Administrative Review,2521-0203,Still in DOAJ index,pakistan administrative review,http://www.par.fjwu.edu.pk,DOAJ,1.0,1300-01-01 00:00:00,2018-01-25 00:00:00,interesting reason,http:__www.par.fjwu.edu.pk
Pakistan Journal of Information Management & Libraries,2409-7462,Still in DOAJ index,pakistan journal of information management & libraries,http://journals.pu.edu.pk/journals/index.php/pjiml/index,DOAJ,1.0,1300-01-01 00:00:00,2017-03-31 00:00:00,interesting reason,http:__journals.pu.edu.pk_journals_index.php_pjiml_index
Palaver,2280-4250,Still in DOAJ index,palaver,http://siba-ese.unisalento.it/index.php/palaver,DOAJ,1.0,1300-01-01 00:00:00,2015-01-28 00:00:00,interesting reason,http:__siba-ese.unisalento.it_index.php_palaver
Partecipazione e Conflitto,1972-7623,Still in DOAJ index,partecipazione e conflitto,http://siba-ese.unisalento.it/index.php/paco,DOAJ,1.0,1300-01-01 00:00:00,2014-06-04 00:00:00,interesting reason,http:__siba-ese.unisalento.it_index.php_paco
Paubrasilia,2595-6752,Still in DOAJ index,paubrasilia,https://periodicos.ufsb.edu.br/index.php/paubrasilia,DOAJ,1.0,1300-01-01 00:00:00,2021-09-18 00:00:00,interesting reason,https:__periodicos.ufsb.edu.br_index.php_paubrasilia
Penelitian Gizi dan Makanan,0125-9717,Still in DOAJ index,penelitian gizi dan makanan,http://ejournal.litbang.depkes.go.id/index.php/pgm,DOAJ,1.0,1300-01-01 00:00:00,2017-10-12 00:00:00,interesting reason,http:__ejournal.litbang.depkes.go.id_index.php_pgm
Pensamiento Psicológico,1657-8961,Still in DOAJ index,pensamiento psicológico,http://revistas.javerianacali.edu.co/index.php/pensamientopsicologico/index,DOAJ,1.0,1300-01-01 00:00:00,2016-11-22 00:00:00,interesting reason,http:__revistas.javerianacali.edu.co_index.php_pensamientopsicologico_index
Periferia,1984-9540,Still in DOAJ index,periferia,http://www.e-publicacoes.uerj.br/index.php/periferia/index,DOAJ,1.0,1300-01-01 00:00:00,2017-08-08 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_periferia_index
Perspectivas en Nutrición Humana,0124-4108,Still in DOAJ index,perspectivas en nutrición humana,http://aprendeenlinea.udea.edu.co/revistas/index.php/nutricion/index,DOAJ,1.0,1300-01-01 00:00:00,2017-03-04 00:00:00,interesting reason,http:__aprendeenlinea.udea.edu.co_revistas_index.php_nutricion_index
Pesquisa e Ensino,2675-1933,Still in DOAJ index,pesquisa e ensino,https://revistas.ufob.edu.br/index.php/pqe,DOAJ,1.0,1300-01-01 00:00:00,2020-07-21 00:00:00,interesting reason,https:__revistas.ufob.edu.br_index.php_pqe
Plato,2079-7567,Still in DOAJ index,plato,https://impactum-journals.uc.pt/platojournal,DOAJ,1.0,1300-01-01 00:00:00,2020-06-20 00:00:00,interesting reason,https:__impactum-journals.uc.pt_platojournal
Politika: Jurnal Ilmu Politik,2502-776X,Still in DOAJ index,politika: jurnal ilmu politik,https://ejournal.undip.ac.id/index.php/politika/index,DOAJ,1.0,1300-01-01 00:00:00,2018-10-09 00:00:00,interesting reason,https:__ejournal.undip.ac.id_index.php_politika_index
Premise Journal,2089-3345,Still in DOAJ index,premise journal,http://fkip.ummetro.ac.id/journal/index.php/english/index,DOAJ,1.0,1300-01-01 00:00:00,2017-07-25 00:00:00,interesting reason,http:__fkip.ummetro.ac.id_journal_index.php_english_index
Presente y Pasado,1316-1369,Still in DOAJ index,presente y pasado,http://erevistas.saber.ula.ve/index.php/presenteypasado/index,DOAJ,1.0,1300-01-01 00:00:00,2021-05-02 00:00:00,interesting reason,http:__erevistas.saber.ula.ve_index.php_presenteypasado_index
Profesìonalìzm Pedagoga: Teoretičnì j Metodičnì Aspekti,2414-9292,Still in DOAJ index,profesìonalìzm pedagoga: teoretičnì j metodičnì aspekti,http://pptma.dn.ua/index.php/en/,DOAJ,1.0,1300-01-01 00:00:00,2017-10-15 00:00:00,interesting reason,http:__pptma.dn.ua_index.php_en_
Proxies: Jurnal Informatika,2301-9220,Still in DOAJ index,proxies: jurnal informatika,http://journal.unika.ac.id/index.php/pro,DOAJ,1.0,1300-01-01 00:00:00,2017-10-31 00:00:00,interesting reason,http:__journal.unika.ac.id_index.php_pro
Psihologie,1857-2502,Still in DOAJ index,psihologie,http://psihologie.key.md,DOAJ,1.0,1300-01-01 00:00:00,2017-03-03 00:00:00,interesting reason,http:__psihologie.key.md
Psikodimensia: Kajian Ilmiah Psikologi,1411-6073,Still in DOAJ index,psikodimensia: kajian ilmiah psikologi,http://journal.unika.ac.id/index.php/psi,DOAJ,1.0,1300-01-01 00:00:00,2017-10-20 00:00:00,interesting reason,http:__journal.unika.ac.id_index.php_psi
Publicum,2447-7982,Still in DOAJ index,publicum,http://www.e-publicacoes.uerj.br/index.php/publicum/index,DOAJ,1.0,1300-01-01 00:00:00,2018-06-13 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_publicum_index
På Spissen,0800-2452,Still in DOAJ index,på spissen,http://ps.noda.no/index.php/ps/index,DOAJ,1.0,1300-01-01 00:00:00,2017-11-14 00:00:00,interesting reason,http:__ps.noda.no_index.php_ps_index
Query: Jurnal Sistem Informasi,2579-5341,Still in DOAJ index,query: jurnal sistem informasi,http://jurnal.uinsu.ac.id/index.php/query,DOAJ,1.0,1300-01-01 00:00:00,2017-10-09 00:00:00,interesting reason,http:__jurnal.uinsu.ac.id_index.php_query
RIASE,2183-6663,Still in DOAJ index,riase,http://www.revistas.uevora.pt/index.php/saude_envelhecimento/index,DOAJ,1.0,1300-01-01 00:00:00,2016-11-02 00:00:00,interesting reason,http:__www.revistas.uevora.pt_index.php_saude_envelhecimento_index
Raído,1984-4018,Still in DOAJ index,raído,http://ojs.ufgd.edu.br/index.php/Raido,DOAJ,1.0,1300-01-01 00:00:00,2018-04-21 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_Raido
Raízes Jurídicas,1981-3872,Still in DOAJ index,raízes jurídicas,http://ojs.up.com.br/index.php/raizesjuridicas,DOAJ,1.0,1300-01-01 00:00:00,2017-10-23 00:00:00,interesting reason,http:__ojs.up.com.br_index.php_raizesjuridicas
Recoletos Multidisciplinary Research Journal,2408-3755,Still in DOAJ index,recoletos multidisciplinary research journal,https://rmrj.usjr.edu.ph/,DOAJ,1.0,1300-01-01 00:00:00,2021-02-15 00:00:00,interesting reason,https:__rmrj.usjr.edu.ph_
Record and Library Journal,2442-5168,Still in DOAJ index,record and library journal,http://e-journal.unair.ac.id/index.php/RLJ,DOAJ,1.0,1300-01-01 00:00:00,2017-10-30 00:00:00,interesting reason,http:__e-journal.unair.ac.id_index.php_RLJ
Repères et Perspectives Economiques,2509-0399,Still in DOAJ index,repères et perspectives economiques,https://revues.imist.ma/index.php/rpe/index,DOAJ,1.0,1300-01-01 00:00:00,2021-07-18 00:00:00,interesting reason,https:__revues.imist.ma_index.php_rpe_index
Research & Knowledge,2630-0400,Still in DOAJ index,research & knowledge,https://rk.msu.ac.th/,DOAJ,1.0,1300-01-01 00:00:00,2019-09-09 00:00:00,interesting reason,https:__rk.msu.ac.th_
Revelli,1984-6576,Still in DOAJ index,revelli,http://www.revista.ueg.br/index.php/revelli/,DOAJ,1.0,1300-01-01 00:00:00,2018-03-20 00:00:00,interesting reason,http:__www.revista.ueg.br_index.php_revelli_
Revista Centroamericana de Administración Pública,1409-0937,Still in DOAJ index,revista centroamericana de administración pública,http://ojs.icap.ac.cr:8012/ojs/index.php/RCAP/about,DOAJ,1.0,1300-01-01 00:00:00,2021-03-01 00:00:00,interesting reason,http:__ojs.icap.ac.cr:8012_ojs_index.php_RCAP_about
Revista Colombiana de Ciencias Pecuarias,0120-0690,Still in DOAJ index,revista colombiana de ciencias pecuarias,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp,DOAJ,1.0,1300-01-01 00:00:00,2019-02-10 00:00:00,interesting reason,http:__aprendeenlinea.udea.edu.co_revistas_index.php_rccp
Revista Direito e Justiça,1676-8558,Still in DOAJ index,revista direito e justiça,http://srvapp2s.santoangelo.uri.br/seer/index.php/direito_e_justica/index,DOAJ,1.0,1300-01-01 00:00:00,2018-11-28 00:00:00,interesting reason,http:__srvapp2s.santoangelo.uri.br_seer_index.php_direito_e_justica_index
Revista Direitos Culturais,1980-7805,Still in DOAJ index,revista direitos culturais,http://srvapp2s.urisan.tche.br/seer/index.php/direitosculturais,DOAJ,1.0,1300-01-01 00:00:00,2018-11-28 00:00:00,interesting reason,http:__srvapp2s.urisan.tche.br_seer_index.php_direitosculturais
Revista Educación Las Américas,0719-7128,Still in DOAJ index,revista educación las américas,http://revistas.udla.cl/rea/index.php/rea,DOAJ,1.0,1300-01-01 00:00:00,2020-07-10 00:00:00,interesting reason,http:__revistas.udla.cl_rea_index.php_rea
Revista Electrónica Formación y Calidad Educativa,1390-9010,Still in DOAJ index,revista electrónica formación y calidad educativa,http://www.refcale.uleam.edu.ec/index.php/refcale/about,DOAJ,1.0,1300-01-01 00:00:00,2015-05-25 00:00:00,interesting reason,http:__www.refcale.uleam.edu.ec_index.php_refcale_about
Revista Eletrônica História em Reflexão,1981-2434,Still in DOAJ index,revista eletrônica história em reflexão,http://ojs.ufgd.edu.br/index.php/historiaemreflexao,DOAJ,1.0,1300-01-01 00:00:00,2018-04-28 00:00:00,interesting reason,http:__ojs.ufgd.edu.br_index.php_historiaemreflexao
Revista Eletrônica de Direito Processual,1982-7636,Still in DOAJ index,revista eletrônica de direito processual,http://www.e-publicacoes.uerj.br/index.php/redp/index,DOAJ,1.0,1300-01-01 00:00:00,2015-05-04 00:00:00,interesting reason,http:__www.e-publicacoes.uerj.br_index.php_redp_index
Revista Eletrônica de Educação do Norte de Mato Grosso,2448-3192,Still in DOAJ index,revista eletrônica de educação do norte de mato grosso,http://www.cefaprosinop.com.br/site/periodicos/index.php/reenoma,DOAJ,1.0,1300-01-01 00:00:00,2020-07-04 00:00:00,interesting reason,http:__www.cefaprosinop.com.br_site_periodicos_index.php_reenoma
Revista Estudios Institucionales,2386-8694,Still in DOAJ index,revista estudios institucionales,http://revistaeeii.eu/index.php?journal=revistaeeii&page=index,DOAJ,1.0,1300-01-01 00:00:00,2016-02-22 00:00:00,interesting reason,http:__revistaeeii.eu_index.php?journal=revistaeeii&page=index
Revista FSA,1806-6356,Still in DOAJ index,revista fsa,http://www4.fsanet.com.br/revista/index.php/fsa/index,DOAJ,1.0,1300-01-01 00:00:00,2017-11-26 00:00:00,interesting reason,http:__www4.fsanet.com.br_revista_index.php_fsa_index
"Revista Foro de Educación Musical, Artes y Pedagogía",2545-7101,Still in DOAJ index,"revista foro de educación musical, artes y pedagogía",http://www.revistaforo.com.ar,DOAJ,1.0,1300-01-01 00:00:00,2018-05-10 00:00:00,interesting reason,http:__www.revistaforo.com.ar
Revista GICOS,2610-797X,Still in DOAJ index,revista gicos,http://erevistas.saber.ula.ve/gicos/,DOAJ,1.0,1300-01-01 00:00:00,2020-08-04 00:00:00,interesting reason,http:__erevistas.saber.ula.ve_gicos_
Revista Gesto,2358-0216,Still in DOAJ index,revista gesto,http://srvapp2s.santoangelo.uri.br/seer/index.php/gesto/index,DOAJ,1.0,1300-01-01 00:00:00,2018-06-09 00:00:00,interesting reason,http:__srvapp2s.santoangelo.uri.br_seer_index.php_gesto_index
Revista Ibero-Americana de Podologia,2674-8215,Still in DOAJ index,revista ibero-americana de podologia,https://journal.iajp.com.br/,DOAJ,1.0,1300-01-01 00:00:00,2020-01-29 00:00:00,interesting reason,https:__journal.iajp.com.br_
