Issn,journal_name
1460-6720,International Journal of Services Technology and Management
1948-5506,Social Psychological and Personality Science
0935-4964,Theoretical and Computational Fluid Dynamics
1753-3546,Glass Technology: European Journal of Glass Science and Technology Part A
0959-3330,Environmental Technology
1062-7995,Progress in Photovoltaics: Research and Applications
0140-7791,"Plant, Cell & Environment"
0340-5354,Zeitschrift f�r Neurologie
1874-7337,Security and Human Rights
0034-0006,Ratio
1745-509X,Aging Health
0916-3182,Cement Science and Concrete Technology
0899-7764,Journal of Media Economics
1354-067X,Culture & Psychology
0004-8666,The Australian and New Zealand Journal of Obstetrics and Gynaecology
1728-0583,Journal of Child & Adolescent Mental Health
1059-7123,Adaptive Behavior
1537-6680,"Fathering: A Journal of Theory, Research, and Practice about Men as Fathers"
1744-6546,Applied Financial Economics Letters
1863-5466,Plant Biotechnology Reports
0285-1660,Japanese Journal of Electrocardiology
2090-2654,Multiple Sclerosis International
1759-2879,Research Synthesis Methods
0591-2385,Zygon®
0075-8434,Non-Newtonian Fluid Mechanics and Complex Flows
1865-0929,"Knowledge Graph and Semantic Computing: Semantic, Knowledge, and Linked Big Data"
2224-5820,Annals of Palliative Medicine
1239-629X,Annales Academiae Scientiarum Fennicae Mathematica
1860-949X,Applications of Sliding Mode Control in Science and Engineering
1865-0929,HCI International 2020 - Posters
2383-0298,Avicenna Journal of Clinical Microbiology and Infection
0884-3996,Journal of Bioluminescence and Chemiluminescence
1752-0452,International Journal of Economic Policy in Emerging Economies
0068-0346,"Making Sense of Health, Disease, and the Environment in Cross-Cultural History: The Arabic-Islamic World, China, Europe, and North America"
0097-6156,Modification of Polymers
0317-0861,Canadian Public Policy
2307-3306,Law and modern states
0302-9743,Image and Signal Processing
0302-9743,Advances in Cryptology – ASIACRYPT 2014
0302-9743,Statistical Atlases and Computational Models of the Heart. ACDC and MMWHS Challenges
0022-0027,The Journal of Conflict Resolution
0001-5962,Acta Mathematica
1517-0276,Revista da Universidade Vale do Rio Verde
0373-3114,"Annali di Matematica Pura ed Applicata, Series 4"
1367-2223,Asian Journal Of Social Psychology
0075-8434,Algebraic Geometry
2249-8176,Panacea Journal of Medical Sciences
1743-3517,"The Internet Society II: Advances in Education, Commerce & Governance"
0167-6768,Netherlands Yearbook of International Law 2013
0583-1024,The Shock and Vibration Digest
2006-0734,Jos Journal of Medicine
1741-8437,"International Journal of Environment, Workplace and Employment"
0302-9743,Theory and Practice in Distributed Systems
0149-6085,Journal of Food Safety
0075-8450,The Deconfinement Transition of QCD
0065-2598,Cell & Molecular Biology of Prostate Cancer
0075-8434,Semigroups Theory and Applications
0021-9983,Journal of Composite Materials
1229-6422,Korean Journal of Air-Conditioning and Refrigeration Engineering
1687-6849,Research Letters in Nanotechnology
0084-2230,Nutrition and Fitness in Health and Disease
0075-8434,Modular Forms on Half-Spaces of Quaternions
0927-2569,Biblical Interpretation: A Journal of Contemporary Approaches
0302-9743,Graph Structures for Knowledge Representation and Reasoning
0972-0561,Journal of Immunology and Immunopathology
0250-3751,Embryology of the Eye and Its Adnexae
0081-3869,Weak Interactions
0097-6156,Collaborative Endeavors in the Chemical Analysis of Art and Cultural Heritage Materials
0578-5634,Coastal Engineering Journal
0075-8434,Quantum Probability and Applications IV
0271-4132,"Dynamical Systems, Ergodic Theory, and Probability: in Memory of Kolya Chernov"
0302-9743,"Digital Human Modeling. Applications in Health, Safety, Ergonomics and Risk Management"
1387-9316,Identifying sentences in signed languages
0891-9356,NINETEENTH-CENTURY LITERATURE
1018-2101,Relational work in Facebook and discussion boards/fora
2090-6552,Case Reports in Genetics
0956-3202,Antiviral Chemistry and Chemotherapy
1387-6740,Methodology of Narrative Study
0075-8434,"Planar Maps, Random Walks and Circle Packing"
0075-8450,New Methods and Results in Non-linear Field Equations
0075-8434,The Numerical Solution of Differential-Algebraic Systems by Runge-Kutta Methods
1740-4398,Drugs in Context
0075-8434,"Séminaire de Théorie du Potentiel Paris, No. 3"
0952-6862,International Journal of Health Care Quality Assurance
1665-0565,Espiral. Estudios sobre Estado y sociedad
2287-8882,Prostate International
0075-8434,Seminormal Operators
0004-8682,Australian and New Zealand Journal of Surgery
1567-2026,Current Neurovascular Research
0120-4483,Ensayos Sobre Política Económica
0303-4216,Rare Earth Oxide Thin Films
2411-1236,"RUDN Journal of Language Studies, Semiotics and Semantics"
2090-2824,International Journal of Vascular Medicine
0039-2944,Studi Francesi
1751-8741,IET Nanobiotechnology
1176-9351,Cancer Informatics
1462-0324,Rheumatology
1107-3756,International Journal of Molecular Medicine
0004-0851,Arctic and Alpine Research
0300-0605,Journal of International Medical Research
0029-151X,Nordisk Tidsskrift for International Ret
0012-6667,Drugs
1062-1024,Journal of Child and Family Studies
0002-9564,American Journal of Psychotherapy
0300-5771,International Journal of Epidemiology
0722-1819,Handchirurgie · Mikrochirurgie · Plastische Chirurgie
0022-0388,The Journal of Development Studies
0902-4441,European Journal of Haematology
1525-7401,Communication Disorders Quarterly
1062-8606,American Journal of Medical Quality
1526-9906,NeoReviews
0388-3051,JOURNAL OF THE MARINE ENGINEERING SOCIETY IN JAPAN
0963-6625,Public Understanding of Science
1077-4866,Software Process: Improvement and Practice
0953-5314,Economic Systems Research
1864-6697,Zeitschrift für Orthopädie und Unfallchirurgie
0734-9041,Journal of Fire Sciences
1341-7568,Genes & Genetic Systems
0364-0094,AJS Review
0265-0665,Economic Affairs
0337-307X,Futuribles
2085-6830,International Journal on Electrical Engineering and Informatics
0703-6337,Journal of European Integration
0015-5691,Folia Pharmacologica Japonica
1758-678X,Nature Climate Change
2010-0078,Climate Change Economics
0171-6468,OR Spectrum
1751-2816,ISBT Science Series
1012-5302,Pflege
1757-9848,International Journal of Critical Accounting
1531-1864,Journal of Organizational Excellence
1944-4370,California Journal of Politics and Policy
1086-1718,Strategic Change
1873-7617,Small-scale Forestry
2160-7583,Pure Mathematics
2410-8286,Advanced Education
0033-3085,Psychology in the Schools
1047-7047,Information Systems Research
1179-5441,Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders
0803-8740,NORA - Nordic Journal of Feminist and Gender Research
1446-7887,Journal of the Australian Mathematical Society
1061-4249,Board Leadership
1932-4391,Strategic Entrepreneurship Journal
1403-6096,"Housing, Theory and Society"
1753-8416,Journal of Topology
1983-8611,Advances in Scientific and Applied Accounting
1548-6591,Journal of US-China Public Administration
0075-3432,Japanese journal of mathematics :transactions and abstracts
2232-0474,Global Journal Al Thaqafah
1470-4129,Journal of Visual Culture
1568-0266,Current Topics in Medicinal Chemistry
1326-4826,Architectural Theory Review
0971-3441,Agricultural Economics Research Review
2175-6783,Rev Rene
1995-4239,Numerical Analysis and Applications
1369-5258,Business and Politics
0065-2598,Oxygen Transport to Tissue XXXVII
1941-1928,Journal of Time Series Econometrics
0302-9743,Advances in Focused Retrieval
1344-4964,The Japanese Journal of Thoracic and Cardiovascular Surgery
0048-8003,Revue d’histoire moderne & contemporaine
1778-3739,Interactive Surgery
1081-3004,Journal of Adolescent & Adult Literacy
2322-2379,Galen Medical Journal
0070-217X,Inducible Lymphoid Organs
1475-3928,Journal of Customer Behaviour
0302-9743,Challenges for Next Generation Network Operations and Service Management
1975-6186,Korean Journal of Culture and Arts Education Studies
0767-3981,Fundamental and Clinical Pharmacology
2280-7659,ECONOMICS AND POLICY OF ENERGY AND THE ENVIRONMENT
1908-7330,Kritike: An Online Journal of Philosophy
1225-8482,Journal of Korean Academy of psychiatric and Mental Health Nursing
2508-4003,Korean Journal of Computational Design and Engineering
0735-7028,Professional Psychology: Research and Practice
1320-1646,Asia-Australia Marketing Journal
1865-0929,"Software Engineering, Business Continuity, and Education"
1567-2379,The Histochemical Journal
1803-9278,Psychologie a její kontexty
0975-7899,International Journal of Head and Neck Surgery
0921-9668,Materiae Vegetabiles
0075-8434,Lévy Matters I
1304-0057,LITERA
0327-6716,REVISTA ARGENTINA DE CLINICA PSICOLOGICA
0097-6156,Chemical Applications of Density-Functional Theory
0097-6156,Halon Replacements
0065-3195,Hydrogen Bonded Polymers
0037-9646,Bulletin des Sociétés Chimiques Belges
0097-6156,Colloids and Surfaces in Reprographic Technology
0097-6156,Advances in Bioinspired and Biomedical Materials Volume 2
0097-6156,Computational Photocatalysis: Modeling of Photophysics and Photochemistry at Interfaces
0081-3869,High-Field Transport in Semiconductor Superlattices
0302-9743,GI-BIFOA Internationale Fachtagung: Informationszentren in Wirtschaft und Verwaltung
0933-1719,Humor – International Journal of Humor Research
0960-3182,Geotechnical & Geological Engineering
1460-1559,The Journal of Computational Finance
0097-6156,Nonlinear Optical Materials
1933-4192,New Criminal Law Review: An International and Interdisciplinary Journal
2045-0621,Emerald Emerging Markets Case Studies
1865-0929,Artificial Intelligence Algorithms and Applications
1844-122X,Journal of Medicine and Life
0075-8434,The Dirichlet Problem for Elliptic-Hyperbolic Equations of Keldysh Type
1865-0929,Simulation Science
0065-2598,Pertussis Infection and Vaccines
0303-4216,Ultrashort Laser Pulses
0065-2598,Metabolomics: From Fundamentals to Clinical Applications
0591-2202,Council on Anthropology and Education Newsletter
1139-1723,Pedagogia social. Revista interuniversitaria
2287-7991,Journal of Preventive Veterinary Medicine
0303-4240,"Reviews of Physiology, Biochemistry and Pharmacology 176"
0075-8434,Equilibrium States and the Ergodic Theory of Anosov Diffeomorphisms
0097-6156,Polymeric Reagents and Catalysts
0303-4216,Digital Picture Analysis
1612-4758,Anzeiger für Sch#x00E4;dlingskunde
0070-217X,Cancer Vaccines
1468-7976,Tourist Studies
1389-2037,Current Protein & Peptide Science
1863-0650,"CLEAN ��� Soil, Air, Water"
0219-4988,Journal of Algebra and Its Applications
0301-0449,Pediatric Radiology
0091-2174,The International Journal of Psychiatry in Medicine
1090-3801,European Journal of Pain
0020-7748,International Journal of Theoretical Physics
0931-041X,Pediatric Nephrology
1753-1586,British Journal of Healthcare Assistants
0743-7463,Langmuir
0305-1048,Nucleic Acids Research
0956-7933,Rural History
1742-5255,Expert Opinion on Drug Metabolism & Toxicology
0023-2165,Klinische Monatsblätter für Augenheilkunde
1742-7584,International Journal of Tropical Insect Science
1216-9803,Acta Ethnographica Hungarica
0921-030X,Natural Hazards
0962-7480,Occupational Medicine
1383-4649,Journal of Seismology
1600-6135,American Journal of Transplantation
1552-4825,American Journal of Medical Genetics Part A
1552-4825,American Journal of Medical Genetics Part A
0942-2056,"Knee Surgery, Sports Traumatology, Arthroscopy"
1756-1841,International Journal of Rheumatic Diseases
0030-364X,Operations Research
0929-5305,Journal of Thrombosis and Thrombolysis
1359-6640,Faraday Discuss.
0006-8314,Boundary-Layer Meteorology
0723-8886,MedR Medizinrecht
1553-734X,PLoS Computational Biology
0022-4480,Journal of Semitic Studies
1940-1736,Mitochondrial DNA
0726-8602,Australian Journal of Linguistics
0928-8244,FEMS Immunology & Medical Microbiology
0379-7724,Higher Education in Europe
0031-9104,Physics and Chemistry of Liquids
0031-868X,The Photogrammetric Record
0197-9337,Earth Surface Processes and Landforms
8756-971X,Journal of the American Mosquito Control Association
1570-2081,Educational Research for Policy and Practice
1470-949X,International Journal of Mobile Communications
1935-1690,The B.E. Journal of Macroeconomics
0883-9115,Journal of Bioactive and Compatible Polymers
0918-7545,International Journal of Japanese Sociology
2008-126X,Basic and Clinical Neuroscience Journal
2231-1149,Asian Journal of Nursing Education and Research
1068-3712,Russian Electrical Engineering
0266-4658,Economic Policy
1554-0138,PsycCRITIQUES
0257-1862,South African Journal of Plant and Soil
0258-252X,Journal for Juridical Science
1252-6576,Cahiers du monde russe
1303-5150,NeuroQuantology
1741-1432,Educational Management Administration & Leadership
1477-5700,Comparative American Studies An International Journal
0888-4064,Teacher Education and Special Education: The Journal of the Teacher Education Division of the Council for Exceptional Children
2199-7446,Journal of Dynamic Behavior of Materials
1225-665X,Stress
0265-5322,Language Testing
1474-3892,American Communist History
1366-0691,Medieval Sermon Studies
1044-2073,Journal of Disability Policy Studies
0268-0513,"Open Learning: The Journal of Open, Distance and e-Learning"
0020-7128,International Journal of Bioclimatology Biometeorology
1886-516X,Revista de Métodos Cuantitativos para la Economía y la Empresa
0552-9034,Pakistan Journal of Agricultural Sciences
0907-4449,Acta Crystallographica Section D Biological Crystallography
1019-2557,Asia Pacific Law Review
1527-8204,Annual Review of Genomics and Human Genetics
1058-8183,Veterinary Radiology & Ultrasound
1744-5760,"International Journal of Parallel, Emergent and Distributed Systems"
0236-5278,Acta Geologica Hungarica
1943-0604,IEEE Transactions on Autonomous Mental Development
1062-4821,Current Opinion in Nephrology & Hypertension
0213-2028,Revista Española de Lingüística Aplicada/Spanish Journal of Applied Linguistics
1350-7524,Architectural Heritage
2194-9735,Journal Club Schmerzmedizin
0003-3847,Annales Botanici Fennici
0385-0110,Nihon Shishubyo Gakkai Kaishi (Journal of the Japanese Society of Periodontology)
0034-0634,ANALES RANM
1388-4433,Passages
1865-0929,Advanced Computer Science and Information Technology
1434-4904,Molecular Magnets
2287-9358,Plant Breeding and Biotechnology
1935-5297,Arboriculture & Urban Forestry
1384-6655,Corpus Studies in Contrastive Linguistics
0303-4216,Hydrodynamic Instabilities and the Transition to Turbulence
0302-9743,Virtual and Mixed Reality - Systems and Applications
0080-5319,Saeculum
0065-2598,Direct Mechanisms in Cholesterol Modulation of Protein Function
0302-9743,Large-Scale Annotation of Biomedical Data and Expert Label Synthesis and Hardware Aware Learning for Medical Imaging and Computer Assisted Intervention
2355-7079,Indonesian Journal of Forestry Research
0097-6156,Naturally Occurring Pest Bioregulators
0304-5242,Journal of Plantation Crops
2038-1379,Review of Economics and Institutions
0075-8434,Moduli Theory and Classification Theory of Algebraic Varieties
0140-6728,Westminster Studies in Education
0075-8434,Polynomial Representations of GLn
1609-4042,IBN AL-HAITHAM JOURNAL For Pure and Applied Science
0075-8434,Vorlesung über Approximationstheorie
0097-6156,High-Energy Processes in Organometallic Chemistry
1865-0929,"Trends in Computational Intelligence, Security and Internet of Things"
1460-8790,"Housing, Care and Support"
0097-6156,Characterization and Catalyst Development
0927-3042,Cancer Treatment and Research
2332-0702,Journal of Oral Hygiene & Health
1567-2069,"Strength, Fracture and Complexity"
0075-8434,Symposium on Ordinary Differential Equations
0097-6156,Sulfur in Pesticide Action and Metabolism
1940-7890,NASPA Journal About Women in Higher Education
0302-9743,PRIMA 2013: Principles and Practice of Multi-Agent Systems
0075-8434,Ecole d’Eté de Probabilités de Saint-Flour XI — 1981
0957-1558,French Cultural Studies
2210-4119,Integrating dialogue
0301-5556,The Surface-Contact Glia
0065-2598,Cardiac Extracellular Matrix
1434-7229,Journal of Artificial Organs
0724-6145,Biotechnology of Food and Feed Additives
0170-8643,Optimization and Optimal Control
1404-6091,CENTRAL ASIA AND THE CAUCASUS
0075-8434,Formal Moduli of Algebraic Structures
0301-5556,Functional Morphology of the Tail Apparatus of the Pigeon (Columba livia)
0075-8434,Numerical Methods for Optimal Control Problems with State Constraints
0081-3869,"Radiative Transfer in Nontransparent, Dispersed Media"
1464-8989,Geometry and Topology Monographs
2375-2920,Inside the Cell
1516-4039,Scripta
0036-8075,Science
2155-5435,ACS Catalysis
1468-8115,Geofluids
0032-5481,Postgraduate Medicine
0387-5016,TRANSACTIONS OF THE JAPAN SOCIETY OF MECHANICAL ENGINEERS Series B
0250-832X,Dentomaxillofacial Radiology
1551-3777,Integrated Environmental Assessment and Management
0007-196X,Brittonia
0306-4190,International Journal of Mechanical Engineering Education
0217-9849,Modern Physics Letters B
1939-6368,Systems Biology in Reproductive Medicine
1091-255X,Journal of Gastrointestinal Surgery
1018-4813,European Journal of Human Genetics
0018-1560,Higher Education
1606-9749,Water Supply
0145-7632,Heat Transfer Engineering
1439-6319,European Journal of Applied Physiology
0734-306X,Journal of Labor Economics
0733-8716,IEEE Journal on Selected Areas in Communications
0257-2753,Digestive Diseases
1011-7571,Medical Principles and Practice
1360-2365,The Journal of Architecture
1040-7391,differences
0341-2040,Lung
0392-1921,Diogenes
1754-8632,International Journal of Autonomous and Adaptive Communications Systems
2153-2168,Childhood Obesity
0882-1666,Systems and Computers in Japan
0360-8905,Journal of Polymer Science: Polymer Symposia
0731-5171,Ferroelectrics Letters Section
1063-6536,IEEE Transactions on Control Systems Technology
0340-2096,"Anatomia, Histologia, Embryologia"
1532-0073,"Homology, Homotopy and Applications"
1740-0228,Journal of Global History
2169-429X,Materials Focus
0891-1916,International Journal of Political Economy
0066-4812,Antipode
1674-5361,Clinical Oncology and Cancer Research
0302-5144,Continuous Extracorporeal Treatment in Multiple Organ Dysfunction Syndrome
0166-2740,Exchange
0898-5901,LASER THERAPY
2226-9010,Biological Bulletin of Bogdan Chmelnitskiy Melitopol State Pedagogical University
2162-5972,Open Journal of Internal Medicine
1350-293X,European Early Childhood Education Research Journal
0302-9743,Advances in Digital Cultural Heritage
2454-129X,Indian Journal of Case Reports
1881-7815,BioScience Trends
0916-8419,Japanese Journal of Animal Psychology
1092-3063,IEEE Concurrency
1078-0874,Urban Affairs Review
1878-5077,EPMA Journal
0338-9316,Yod
1672-7975,Applied Geophysics
0970-3950,MAPAN
0095-2443,Journal of Elastomers & Plastics
0261-4367,Leisure Studies
1984-3011,International Journal of Nutrology
2096-0042,CSEE Journal of Power and Energy Systems
0739-6686,Annual Review of Nursing Research
1994-1072,East African Orthopaedic Journal
0028-1522,NAVIGATION
1758-1869,Pain Management
1648-715X,International Journal of Strategic Property Management
1531-3220,Journal of Teaching in Travel & Tourism
0065-2598,"Lacrimal Gland, Tear Film, and Dry Eye Syndromes 3"
0924-3453,School Effectiveness and School Improvement
2234-8999,Korean Journal of Neurotrauma
1354-7860,Journal of the Asia Pacific Economy
2168-6831,IEEE Geoscience and Remote Sensing Magazine
1472-0701,Corporate Governance: The International Journal of Business in Society
2045-290X,Cultural History
0155-0640,English as an International Language
0302-9743,AI*IA 2007: Artificial Intelligence and Human-Oriented Computing
1598-0634,International Journal of Tourism Sciences
0915-1214,Contemporary Sociological Studies
1759-7137,Journal of Screenwriting
1421-7082,Endocrine Development
1360-9939,"""International Journal of Law, Policy and the Family"""
0071-9676,Electron Beam Therapy
1321-2753,Bioethics News
1304-0537,Turkiye Klinikleri Journal of Neurology
0304-4246,Fetal Endocrinology
1465-5411,Breast Cancer Research
1229-3954,Journal of Korean Acedemy of Dental Technology
0925-854X,Natural Language Semantics
2307-3705,Philosophy and Cosmology
1230-0322,Polish Journal of Food and Nutrition Sciences
0303-4216,Hydrogen in Intermetallic Compunds II
0302-9743,Accountability and Security in the Cloud
1865-0929,Advances in Computing
0097-6156,Flavor Chemistry of Wine and Other Alcoholic Beverages
0097-6156,Fire and Polymers V
1740-7125,Comparative Islamic Studies
1027-5495,Functional Materials
1743-3541,The Sustainable City IV: Urban Regeneration and Sustainability
2500-3119,Circulation Pathology and Cardiac Surgery
0932-4194,"Mathematics of Control, Signals, and Systems (MCSS)"
0075-8434,Partial Differential Equations and Calculus of Variations
0075-8434,Lie Group Representations I
1940-7726,Perspectives on Hearing Conservation and Occupational Audiology
0097-6156,Renewable and Sustainable Polymers
0075-8434,"Relative Aspects in Representation Theory, Langlands Functoriality and Automorphic Forms"
0302-9743,Cryptographic Hardware and Embedded Systems – CHES 2016
0097-6156,Brassinosteroids
0302-9743,Formal Development of Reactive Systems
0081-3869,Advances in Jet Substructure at the LHC
1387-6732,From Letter to Sound
0302-9743,Transactions on Computational Collective Intelligence I
0075-8434,Combinatorial Mathematics V
1865-0929,Geometry and Vision
1860-949X,Current Trends in Semantic Web Technologies: Theory and Practice
0179-5953,Reviews of Environmental Contamination and Toxicology volume
0065-2598,Neural Circuits of Innate Behaviors
0185-1225,Anales de Antropología
0302-9743,Domain Modeling and the Duration Calculus
0041-1612,Transportation Journal
2042-891X,World Review of Political Economy
1356-7500,Child and Family Social Work
1865-1674,Transboundary and Emerging Diseases
0266-0784,English Today
0022-2348,"Journal of Macromolecular Science, Part B"
0271-678X,Journal of Cerebral Blood Flow & Metabolism
0039-6338,Survival
0724-6145,Advances in Biochemical Engineering/Biotechnology
0046-225X,Environmental Entomology
0270-1367,Research Quarterly for Exercise and Sport
0171-8630,Marine Ecology Progress Series
1535-2188,Seminars in Plastic Surgery
0097-4463,Annals of Carnegie Museum
0959-6836,The Holocene
0742-0463,Journal of Volcanology and Seismology
0971-4502,Indian Journal of Hematology and Blood Transfusion
1341-4585,The Annals of Japan Association for Urban Sociology
1096-2964,Surgical Infections
0210-0266,Cuadernos de Economía
1521-3269,Media Psychology
0001-4788,Accounting and Business Research
1648-8024,Lithuanian Annual Strategic Review
0945-6317,Virchows Archiv f�r Pathologische Anatomie und Physiologie und f�r Klinische Medizin
0210-5233,Revista Española de Investigaciones Sociológicas
0023-8309,Language and Speech
0967-0513,Land Contamination & Reclamation
2055-5822,ESC Heart Failure
0958-9236,Journal of Gender Studies
1861-6410,International Journal of Computer Assisted Radiology and Surgery
0275-7206,History and Anthropology
0269-7653,Evolutionary Ecology
0260-1370,International Journal of Lifelong Education
1323-7799,Respirology
0894-3257,Journal of Behavioral Decision Making
0276-4741,Mountain Research and Development
0803-9488,Nordic Journal of Psychiatry
0302-9743,It's All About Coordination
0300-4864,Journal of Neurocytology
0219-8436,International Journal of Humanoid Robotics
0361-5995,Soil Science Society of America Journal
0340-0131,Archiv für Gewerbepathologie und Gewerbehygiene
0511-9618,Willdenowia
0950-5423,International Journal of Food Science and Technology
1842-2845,Transylvanian Review of Administrative Sciences
1617-982X,Portuguese Economic Journal
0302-9743,FME '94: Industrial Benefit of Formal Methods
0020-7640,International Journal of Social Psychiatry
0340-5761,Archiv f�r Toxikologie
0737-0024,Human–Computer Interaction
1985-2533,Malaysian Orthopaedic Journal
2194-668X,Journal of the Operations Research Society of China
1367-5435,Journal of Industrial Microbiology & Biotechnology
0044-2275,ZAMP Zeitschrift f�r angewandte Mathematik und Physik
1753-6235,International Journal of Private Law
2327-056X,Annual Review of Virology
0004-5632,Annals of Clinical Biochemistry
0942-5616,MLQ
1530-2180,Ubiquity
0256-0100,South African Journal of Education
1048-9223,Language Acquisition: A Journal of Developmental Linguistics
0300-8584,Zeitschrift für Hygiene
0065-2598,Glycobiology and Medicine
0302-9743,Metaclasses and Their Application
1687-4714,"EURASIP Journal on Audio, Speech, and Music Processing"
1476-1777,Water Intelligence Online
1865-0929,System Simulation and Scientific Computing
0016-7363,Geographical Analysis
0302-9743,A Practical Programming Model for the Multi-Core Era
0302-9743,Smart Sensing and Context
1932-8648,The Global South
0258-0330,Current Studies in Hemophilia
2029-2139,"Environmental Research, Engineering and Management"
1079-0276,P2: Pollution Prevention Review
0043-8200,World Affairs
0302-9743,Maturity and Innovation in Digital Libraries
1546-2609,Review of Business Research
0302-9743,KI-98: Advances in Artificial Intelligence
0075-8434,Approximation and Optimization
1989-5216,Archives of Medicine
1446-8956,International Journal of Development Issues
1865-0929,Evaluating AAL Systems Through Competitive Benchmarking
0302-5144,Cardiorenal Disease
0302-9743,AI Approaches to the Complexity of Legal Systems
0097-6156,Flavor Encapsulation
0302-9743,"Models, Mindsets, Meta: The What, the How, and the Why Not?"
1089-2699,"Group Dynamics: Theory, Research, and Practice"
0075-8434,Nonlinear Filtering and Stochastic Control
1388-9532,Gene Therapy and Regulation
0075-8434,Mixed Motives and Their Realization in Derived Categories
1077-727X,Family & Consumer Sciences Research Journal
0185-2574,Estudios de Cultura Maya
0097-6156,The Boduszynski Continuum: Contributions to the Understanding of the Molecular Composition of Petroleum
0097-6156,Chemical and Catalytic Reactor Modeling
0974-567X,World Digital Libraries: An International Journal
0075-8434,Algebraic Topology Aarhus 1978
0075-8434,Modular Functions of one Variable V
0097-6156,Metal Clusters in Proteins
1556-2646,Journal of Empirical Research on Human Research Ethics: An International Journal
1865-0929,"Computer Applications for Communication, Networking, and Digital Contents"
1387-6759,Genre- and register-related discourse features in contrast
0097-6156,Analytical Biotechnology
0097-6156,Particle Size Distribution II
1754-1441,International Journal of Immunological Studies
0097-6156,Assessing Transformation Products of Chemicals by Non-Target and Suspect Screening − Strategies and Workflows Volume 2
0302-9743,Language Design and Programming Methodology
0170-8643,Control Problems of Discrete-Time Dynamical Systems
0080-1844,The Biology of Imaginal Disks
0065-2598,Biobanking and Cryopreservation of Stem Cells
0075-8434,"Forcing, Arithmetic, Division Rings"
0080-1844,Pattern Formation in Zebrafish
0302-9743,"Molecular Imaging, Reconstruction and Analysis of Moving Body Organs, and Stroke Imaging and Treatment"
1363-2752,Emotional & Behavioural Difficulties
0065-2598,Membrane Dynamics and Calcium Signaling
0302-9743,Transactions on Large-Scale Data- and Knowledge-Centered Systems XII
1461-0213,"Multilingual, Globalizing Asia"
0306-0225,The Biochemistry of Retinoid Signaling III
1434-4904,Functional Nanostructures and Metamaterials for Superconducting Spintronics
2211-4742,Argumentation in the Media
1468-795X,Journal of Classical Sociology
0939-5555,Annals of Hematology
0924-669X,Applied Intelligence
0955-5803,Japan Forum
0258-2473,South African Historical Journal
0279-1072,Journal of Psychoactive Drugs
1090-0268,Journal of Composites for Construction
1662-811X,Journal of Innate Immunity
1883-8014,Journal of Advanced Computational Intelligence and Intelligent Informatics
0310-057X,Anaesthesia and Intensive Care
1742-058X,Du Bois Review: Social Science Research on Race
0891-6152,Experimental Heat Transfer
0028-2960,Netherlands Journal of Zoology
0014-4029,Exceptional Children
1046-4883,Journal of Architectural Education
0067-2378,Austrian History Yearbook
1353-3452,Science and Engineering Ethics
1557-0274,The Review of Faith & International Affairs
1492-6156,"Canadian Journal of Science, Mathematics and Technology Education"
1860-949X,New Advances in Intelligent Decision Technologies
1472-3581,Coloration Technology
0305-215X,Engineering Optimization
0006-3606,Biotropica
0302-8933,Archives of Microbiology
0309-0167,Histopathology
1245-1436,Ateliers d'anthropologie
0032-390X,Polymer Mechanics
2206-3110,Journal of Outdoor and Environmental Education
0885-7458,International Journal of Parallel Programming
1747-0277,Chemical Biology & Drug Design
1359-7566,Regional & Federal Studies
0952-3480,NMR in Biomedicine
1813-162X,Tikrit Journal of Engineering Sciences
0012-1924,Diagnostica
1342-9612,Journal of Japanese Association of Hydrological Sciences
1958-5586,Dairy Science & Technology
0289-7806,Doboku Gakkai Ronbunshu
1492-7535,Hemodialysis International
2251-8959,Health Scope
1881-641X,Annals of Vascular Diseases
0730-0832,Neonatal Network
2374-4235,Infectious Diseases
1976-9148,Biomolecules & Therapeutics
2050-8840,The Theory and Practice of Legislation
1612-4669,Forstwissenschaftliches Centralblatt
0934-9839,Research in Engineering Design
0890-9369,Genes & Development
0017-8160,Harvard Theological Review
0335-5322,Actes de la recherche en sciences sociales
1757-7438,Power and Education
0041-3291,Tropical Science
2425-6250,Caliban
2093-2685,Journal of Global Fashion Marketing
0302-9743,Euro-Par 2009 Parallel Processing
1941-1243,"Journal of Occupational Therapy, Schools, & Early Intervention"
1081-2865,Mathematics and Mechanics of Solids
0936-5907,Cognitive Linguistics
0954-8890,African Journal of International and Comparative Law
0037-9271,Annales de la Société entomologique de France (N.S.)
2455-328X,Contemporary Voice of Dalit
1351-3958,Asian Economic Journal
1757-0638,Comparative and Continental Philosophy
2005-3606,International Journal of Stem Cells
1751-2271,"Mind, Brain, and Education"
1405-7425,Papeles de Población
1745-5111,Pediatric Health
1543-1894,Clinical Bioinformatics
1390-6542,Enfoque UTE
0121-4128,Lúdica Pedagógica
2165-0497,Microbiology Spectrum
0301-3073,Physiology of Adrenocortical Secretion
1527-3172,MEDICC Review
1212-4117,Kontakt
0028-0798,Le Naturaliste canadien
1683-3597,"Iraqi Journal of Pharmaceutical Sciences ( P-ISSN: 1683 - 3597 , E-ISSN : 2521 - 3512)"
0367-6463,The Korean Journal of Nutrition
0070-217X,Activity-Based Protein Profiling
0075-8434,A Geometrical Study of the Elementary Catastrophes
0097-6156,Enzymes in Biomass Conversion
0302-9743,Applications and Theory of Petri Nets 2004
