Journal Title,ISSN,Reason,Journal Title Normalized,URL,Data Source,added,Remove_Date,Add_Date,reason_category
Persona Studies,2205-5258,Still in DOAJ index,persona studies,https://ojs.deakin.edu.au/index.php/ps,DOAJ,1.0,1300-01-01 00:00:00,2017-08-21 00:00:00,interesting reason
Personality Neuroscience,2513-9886,Still in DOAJ index,personality neuroscience,https://www.cambridge.org/core/journals/personality-neuroscience,DOAJ,1.0,1300-01-01 00:00:00,2019-02-04 00:00:00,interesting reason
Personnel Assessment and Decisions,2377-8822,Still in DOAJ index,personnel assessment and decisions,https://scholarworks.bgsu.edu/pad/,DOAJ,1.0,1300-01-01 00:00:00,2017-07-12 00:00:00,interesting reason
Perspectiva,1996-5257,Still in DOAJ index,perspectiva,http://revistas.upagu.edu.pe/index.php/PE,DOAJ,1.0,1300-01-01 00:00:00,2020-01-09 00:00:00,interesting reason
Perspectiva Geográfica,0123-3769,Still in DOAJ index,perspectiva geográfica,http://revistas.uptc.edu.co/revistas/index.php/perspectiva/,DOAJ,1.0,1300-01-01 00:00:00,2017-09-18 00:00:00,interesting reason
Perspectiva Teológica,2176-8757,Still in DOAJ index,perspectiva teológica,http://www.perspectiva.faje.edu.br,DOAJ,1.0,1300-01-01 00:00:00,2017-12-10 00:00:00,interesting reason
Perspectivas,1409-3669,Still in DOAJ index,perspectivas,http://www.revistas.una.ac.cr/perspectivas,DOAJ,1.0,1300-01-01 00:00:00,2018-03-13 00:00:00,interesting reason
Perspectivas Rurales,1409-3251,Still in DOAJ index,perspectivas rurales,http://www.revistas.una.ac.cr/index.php/perspectivasrurales/index,DOAJ,1.0,1300-01-01 00:00:00,2019-04-11 00:00:00,interesting reason
Perspectivas da Ciência e Tecnologia,1984-5693,Still in DOAJ index,perspectivas da ciência e tecnologia,https://revistascientificas.ifrj.edu.br/revista/index.php/revistapct,DOAJ,1.0,1300-01-01 00:00:00,2019-10-27 00:00:00,interesting reason
Perspectivas de las Ciencias Económicas y Jurídicas,2250-4087,Still in DOAJ index,perspectivas de las ciencias económicas y jurídicas,https://cerac.unlpam.edu.ar/index.php/perspectivas,DOAJ,1.0,1300-01-01 00:00:00,2019-02-28 00:00:00,interesting reason
Perspectivas em Ciência da Informação,1981-5344,Still in DOAJ index,perspectivas em ciência da informação,http://www.scielo.br/pci,DOAJ,1.0,1300-01-01 00:00:00,2017-04-05 00:00:00,interesting reason
Perspectivas em Diálogo: Revista de Educação e Sociedade,2358-1840,Still in DOAJ index,perspectivas em diálogo: revista de educação e sociedade,,DOAJ,1.0,1300-01-01 00:00:00,2017-04-17 00:00:00,interesting reason
Perspectivas en Nutrición Humana,0124-4108,Still in DOAJ index,perspectivas en nutrición humana,http://aprendeenlinea.udea.edu.co/revistas/index.php/nutricion/index,DOAJ,1.0,1300-01-01 00:00:00,2017-03-04 00:00:00,interesting reason
Perspectivas en Psicología: Revista de Psicología y Ciencias Afines,1668-7175,Still in DOAJ index,perspectivas en psicología: revista de psicología y ciencias afines,,DOAJ,1.0,1300-01-01 00:00:00,2016-03-22 00:00:00,interesting reason
Perspectives In Medical Research,2348-1447,Still in DOAJ index,perspectives in medical research,http://www.pimr.org.in/,DOAJ,1.0,1300-01-01 00:00:00,2015-04-13 00:00:00,interesting reason
Perspectives em Medicina Legal e Perícia Médica,2526-0928,Still in DOAJ index,perspectives em medicina legal e perícia médica,,DOAJ,1.0,1300-01-01 00:00:00,2020-06-15 00:00:00,interesting reason
Perspectives in Clinical Research,2229-3485,Still in DOAJ index,perspectives in clinical research,http://www.picronline.org/,DOAJ,1.0,1300-01-01 00:00:00,2015-11-18 00:00:00,interesting reason
Perspectives in Ecology and Conservation,2530-0644,Still in DOAJ index,perspectives in ecology and conservation,https://www.journals.elsevier.com/perspectives-in-ecology-and-conservation,DOAJ,1.0,1300-01-01 00:00:00,2020-12-18 00:00:00,interesting reason
Perspectives in Education,0258-2236,Still in DOAJ index,perspectives in education,https://journals.ufs.ac.za/index.php/pie,DOAJ,1.0,1300-01-01 00:00:00,2021-03-25 00:00:00,interesting reason
Perspectives in Medicinal Chemistry,1177-391X,Still in DOAJ index,perspectives in medicinal chemistry,,DOAJ,1.0,1300-01-01 00:00:00,2015-06-16 00:00:00,interesting reason
Perspectives in Medicine,2211-968X,Still in DOAJ index,perspectives in medicine,,DOAJ,1.0,1300-01-01 00:00:00,2015-05-21 00:00:00,interesting reason
Perspectives in Science,2213-0209,Still in DOAJ index,perspectives in science,,DOAJ,1.0,1300-01-01 00:00:00,2015-08-21 00:00:00,interesting reason
Perspectives of Business Law Journal,2286-0649,Still in DOAJ index,perspectives of business law journal,,DOAJ,1.0,1300-01-01 00:00:00,2018-02-08 00:00:00,interesting reason
Perspectives of Law and Public Administration,2601-7830,Still in DOAJ index,perspectives of law and public administration,http://www.adjuris.ro/revista/,DOAJ,1.0,1300-01-01 00:00:00,2018-08-28 00:00:00,interesting reason
Perspectives on Federalism,2036-5438,Still in DOAJ index,perspectives on federalism,http://www.on-federalism.eu/index.php/,DOAJ,1.0,1300-01-01 00:00:00,2016-03-22 00:00:00,interesting reason
Perspectives on Medical Education,2212-277X,Still in DOAJ index,perspectives on medical education,https://www.springer.com/journal/40037,DOAJ,1.0,1300-01-01 00:00:00,2020-02-14 00:00:00,interesting reason
Perspectives on Terrorism,2334-3745,Still in DOAJ index,perspectives on terrorism,https://www.universiteitleiden.nl/perspectives-on-terrorism,DOAJ,1.0,1300-01-01 00:00:00,2014-07-04 00:00:00,interesting reason
Perspektif,1410-3648,Still in DOAJ index,perspektif,,DOAJ,1.0,1300-01-01 00:00:00,2017-02-16 00:00:00,interesting reason
Perspektif Hukum Journal,1411-9536,Still in DOAJ index,perspektif hukum journal,http://perspektif-hukum.hangtuah.ac.id/,DOAJ,1.0,1300-01-01 00:00:00,2017-04-20 00:00:00,interesting reason
Perspektif: Jurnal Ilmu-ilmu Sosial,2085-0328,Still in DOAJ index,perspektif: jurnal ilmu-ilmu sosial,http://ojs.uma.ac.id/index.php/perspektif/index,DOAJ,1.0,1300-01-01 00:00:00,2019-10-08 00:00:00,interesting reason
Perspektywy Kultury,2719-8014,Still in DOAJ index,perspektywy kultury,https://czasopisma.ignatianum.edu.pl/pk,DOAJ,1.0,1300-01-01 00:00:00,2021-10-22 00:00:00,interesting reason
Peshawar Journal of Psychology and Behavioral Sciences,2518-4474,Still in DOAJ index,peshawar journal of psychology and behavioral sciences,http://www.pjpbsicp.com,DOAJ,1.0,1300-01-01 00:00:00,2018-11-09 00:00:00,interesting reason
Pesquimat,1560-912X,Still in DOAJ index,pesquimat,http://revistasinvestigacion.unmsm.edu.pe/index.php/matema,DOAJ,1.0,1300-01-01 00:00:00,2019-03-15 00:00:00,interesting reason
Pesquisa Agropecuária Gaúcha,0104-9070,Still in DOAJ index,pesquisa agropecuária gaúcha,http://revistapag.agricultura.rs.gov.br/ojs,DOAJ,1.0,1300-01-01 00:00:00,2020-03-05 00:00:00,interesting reason
Pesquisa Brasileira em Odontopediatria e Clínica Integrada,1519-0501,Still in DOAJ index,pesquisa brasileira em odontopediatria e clínica integrada,http://revista.uepb.edu.br/index.php/pboci/index,DOAJ,1.0,1300-01-01 00:00:00,2019-04-14 00:00:00,interesting reason
Pesquisa e Ensino,2675-1933,Still in DOAJ index,pesquisa e ensino,https://revistas.ufob.edu.br/index.php/pqe,DOAJ,1.0,1300-01-01 00:00:00,2020-07-21 00:00:00,interesting reason
Pessoa Plural,2212-4179,Still in DOAJ index,pessoa plural,http://pessoaplural.com,DOAJ,1.0,1300-01-01 00:00:00,2019-06-06 00:00:00,interesting reason
Pesticidi i Fitomedicina,1820-3949,Still in DOAJ index,pesticidi i fitomedicina,http://scindeks.ceon.rs/journalDetails.aspx?issn=1820-3949&lang=en,DOAJ,1.0,1300-01-01 00:00:00,2017-08-20 00:00:00,interesting reason
Pet Behaviour Science,2445-2874,Still in DOAJ index,pet behaviour science,https://www.uco.es/ucopress/ojs/index.php/pet,DOAJ,1.0,1300-01-01 00:00:00,2017-10-08 00:00:00,interesting reason
Petroleum,2405-6561,Still in DOAJ index,petroleum,http://www.keaipublishing.com/en/journals/petroleum/,DOAJ,1.0,1300-01-01 00:00:00,2017-04-27 00:00:00,interesting reason
Petroleum Exploration and Development,1876-3804,Still in DOAJ index,petroleum exploration and development,http://www.keaipublishing.com/en/journals/petroleum-exploration-and-development/,DOAJ,1.0,1300-01-01 00:00:00,2018-11-09 00:00:00,interesting reason
Petroleum Research,2524-1729,Still in DOAJ index,petroleum research,http://www.keaipublishing.com/en/journals/petroleum-research/,DOAJ,1.0,1300-01-01 00:00:00,2019-07-15 00:00:00,interesting reason
Petroleum Science,1995-8226,Still in DOAJ index,petroleum science,http://www.springer.com/12182,DOAJ,1.0,1300-01-01 00:00:00,2016-02-09 00:00:00,interesting reason
Peuce,0258-8102,Still in DOAJ index,peuce,http://revistapeuce.icemtl.ro/home/,DOAJ,1.0,1300-01-01 00:00:00,2021-01-15 00:00:00,interesting reason
Phainomena,1318-3362,Still in DOAJ index,phainomena,,DOAJ,1.0,1300-01-01 00:00:00,2020-09-08 00:00:00,interesting reason
Pharmaceutical Biology,1744-5116,Still in DOAJ index,pharmaceutical biology,https://www.tandfonline.com/toc/iphb20/current,DOAJ,1.0,1300-01-01 00:00:00,2017-09-28 00:00:00,interesting reason
Pharmaceutical Fronts,2628-5096,Still in DOAJ index,pharmaceutical fronts,https://www.thieme.com/books-main/chemistry/product/5416-pharmaceutical-fronts,DOAJ,1.0,1300-01-01 00:00:00,2020-11-30 00:00:00,interesting reason
Pharmaceutical Sciences and Research,2407-2354,Still in DOAJ index,pharmaceutical sciences and research,https://scholarhub.ui.ac.id/psr/,DOAJ,1.0,1300-01-01 00:00:00,2017-08-11 00:00:00,interesting reason
Pharmaceutical Technology in Hospital Pharmacy,2365-242X,Still in DOAJ index,pharmaceutical technology in hospital pharmacy,https://www.degruyter.com/view/journals/pthp/pthp-overview.xml,DOAJ,1.0,1300-01-01 00:00:00,2020-10-29 00:00:00,interesting reason
Pharmaceutical and Biomedical Research,2423-4494,Still in DOAJ index,pharmaceutical and biomedical research,http://pbr.mazums.ac.ir,DOAJ,1.0,1300-01-01 00:00:00,2017-11-29 00:00:00,interesting reason
PharmacoEconomics - Open,2509-4254,Still in DOAJ index,pharmacoeconomics - open,https://www.springer.com/journal/41669,DOAJ,1.0,1300-01-01 00:00:00,2017-10-12 00:00:00,interesting reason
Pharmacology and Clinical Pharmacy Research,2614-0020,Still in DOAJ index,pharmacology and clinical pharmacy research,http://jurnal.unpad.ac.id/pcpr/index,DOAJ,1.0,1300-01-01 00:00:00,2018-12-07 00:00:00,interesting reason
"Pharmacology, Research & Perspectives",2052-1707,Still in DOAJ index,"pharmacology, research & perspectives",,DOAJ,1.0,1300-01-01 00:00:00,2016-01-26 00:00:00,interesting reason
Pharos Journal of Theology,1018-9556,Still in DOAJ index,pharos journal of theology,http://www.pharosjot.com,DOAJ,1.0,1300-01-01 00:00:00,2018-09-13 00:00:00,interesting reason
Phaselis: Disiplinlerarası Akdeniz Araştırmaları Dergisi,2149-7826,Still in DOAJ index,phaselis: disiplinlerarası akdeniz araştırmaları dergisi,http://journal.phaselis.org,DOAJ,1.0,1300-01-01 00:00:00,2019-05-27 00:00:00,interesting reason
Phenomena Journal,2612-6796,Still in DOAJ index,phenomena journal,http://www.phenomenajournal.it,DOAJ,1.0,1300-01-01 00:00:00,2020-05-13 00:00:00,interesting reason
Phenomenology and Mind,2280-7853,Still in DOAJ index,phenomenology and mind,http://www.rosenbergesellier.it/ita/riviste/phenomenology-and-mind,DOAJ,1.0,1300-01-01 00:00:00,2017-08-28 00:00:00,interesting reason
Phenomenology and Practice,1913-4711,Still in DOAJ index,phenomenology and practice,,DOAJ,1.0,1300-01-01 00:00:00,2017-05-16 00:00:00,interesting reason
Phenomenon,2088-7868,Still in DOAJ index,phenomenon,http://journal.walisongo.ac.id/index.php/Phenomenon,DOAJ,1.0,1300-01-01 00:00:00,2018-01-03 00:00:00,interesting reason
Philharmonica,2453-613X,Still in DOAJ index,philharmonica,,DOAJ,1.0,1300-01-01 00:00:00,2019-05-13 00:00:00,interesting reason
Philippine Journal of Allied Health Sciences,1908-5044,Still in DOAJ index,philippine journal of allied health sciences,,DOAJ,1.0,1300-01-01 00:00:00,2021-02-15 00:00:00,interesting reason
Philippine Journal of Otolaryngology Head and Neck Surgery,2094-1501,Still in DOAJ index,philippine journal of otolaryngology head and neck surgery,https://pjohns.pso-hns.org/index.php/pjohns,DOAJ,1.0,1300-01-01 00:00:00,2019-10-09 00:00:00,interesting reason
Philippine Social Science Journal,2704-288X,Still in DOAJ index,philippine social science journal,https://philssj.org/index.php/main,DOAJ,1.0,1300-01-01 00:00:00,2021-01-22 00:00:00,interesting reason
Philobiblion,2444-1538,Still in DOAJ index,philobiblion,https://revistas.uam.es/philobiblion/,DOAJ,1.0,1300-01-01 00:00:00,2021-02-08 00:00:00,interesting reason
Philologia,1451-5342,Still in DOAJ index,philologia,http://philologia.org.rs,DOAJ,1.0,1300-01-01 00:00:00,2021-08-06 00:00:00,interesting reason
Philologia Hispalensis,1132-0265,Still in DOAJ index,philologia hispalensis,https://revistascientificas.us.es/index.php/PH,DOAJ,1.0,1300-01-01 00:00:00,2020-06-05 00:00:00,interesting reason
Philologica Canariensia,1136-3169,Still in DOAJ index,philologica canariensia,http://ojsspdc.ulpgc.es/ojs/index.php/PhilCan,DOAJ,1.0,1300-01-01 00:00:00,2016-06-01 00:00:00,interesting reason
Philosophers' Imprint,1533-628X,Still in DOAJ index,philosophers' imprint,https://www.philosophersimprint.org/,DOAJ,1.0,1300-01-01 00:00:00,2019-04-15 00:00:00,interesting reason
Philosophical Investigations,2251-7960,Still in DOAJ index,philosophical investigations,http://philosophy.tabrizu.ac.ir/,DOAJ,1.0,1300-01-01 00:00:00,2015-09-28 00:00:00,interesting reason
Philosophical Readings,2036-4989,Still in DOAJ index,philosophical readings,https://virgo.unive.it/ojs2/index.php/phr/index,DOAJ,1.0,1300-01-01 00:00:00,2015-03-19 00:00:00,interesting reason
Philosophical Thought,2409-8728,Still in DOAJ index,philosophical thought,,DOAJ,1.0,1300-01-01 00:00:00,2019-05-17 00:00:00,interesting reason
Philosophies,2409-9287,Still in DOAJ index,philosophies,http://www.mdpi.com/journal/philosophies,DOAJ,1.0,1300-01-01 00:00:00,2017-04-12 00:00:00,interesting reason
Philosophy Kitchen,2385-1945,Still in DOAJ index,philosophy kitchen,https://www.ojs.unito.it/index.php/philosophykitchen/,DOAJ,1.0,1300-01-01 00:00:00,2021-05-10 00:00:00,interesting reason
Philosophy and Culture,2454-0757,Still in DOAJ index,philosophy and culture,,DOAJ,1.0,1300-01-01 00:00:00,2019-04-28 00:00:00,interesting reason
Philosophy and the Mind Sciences,2699-0369,Still in DOAJ index,philosophy and the mind sciences,https://philosophymindscience.org/index.php/phimisci/index,DOAJ,1.0,1300-01-01 00:00:00,2021-07-12 00:00:00,interesting reason
"Philosophy, Theory, and Practice in Biology",2475-3025,Still in DOAJ index,"philosophy, theory, and practice in biology",https://www.ptpbio.org/,DOAJ,1.0,1300-01-01 00:00:00,2018-04-03 00:00:00,interesting reason
Philostrato,2530-9420,Still in DOAJ index,philostrato,http://philostrato.revistahistoriayarte.es,DOAJ,1.0,1300-01-01 00:00:00,2019-05-15 00:00:00,interesting reason
Phisiotherapry Quarterly,2544-4395,Still in DOAJ index,phisiotherapry quarterly,,DOAJ,1.0,1300-01-01 00:00:00,2019-12-23 00:00:00,interesting reason
Photoacoustics,2213-5979,Still in DOAJ index,photoacoustics,http://www.journals.elsevier.com/photoacoustics/,DOAJ,1.0,1300-01-01 00:00:00,2015-03-28 00:00:00,interesting reason
PhotoniX,2662-1991,Still in DOAJ index,photonix,https://photonix.springeropen.com/,DOAJ,1.0,1300-01-01 00:00:00,2020-12-22 00:00:00,interesting reason
Photonics,2304-6732,Still in DOAJ index,photonics,http://www.mdpi.com/journal/photonics,DOAJ,1.0,1300-01-01 00:00:00,2014-06-26 00:00:00,interesting reason
Photosynthetica,0300-3604,Still in DOAJ index,photosynthetica,https://ps.ueb.cas.cz/,DOAJ,1.0,1300-01-01 00:00:00,2020-07-27 00:00:00,interesting reason
Phychologica,0871-4657,Still in DOAJ index,phychologica,,DOAJ,1.0,1300-01-01 00:00:00,2019-06-04 00:00:00,interesting reason
Physical Activity Review,2300-5076,Still in DOAJ index,physical activity review,http://www.physactiv.eu/,DOAJ,1.0,1300-01-01 00:00:00,2020-04-14 00:00:00,interesting reason
Physical Activity and Health,2515-2270,Still in DOAJ index,physical activity and health,https://paahjournal.com/,DOAJ,1.0,1300-01-01 00:00:00,2018-08-20 00:00:00,interesting reason
Physical Education of Students,2308-7250,Still in DOAJ index,physical education of students,https://sportedu.org.ua/,DOAJ,1.0,1300-01-01 00:00:00,2018-01-20 00:00:00,interesting reason
Physical Oceanography,1573-160X,Still in DOAJ index,physical oceanography,http://physical-oceanography.ru,DOAJ,1.0,1300-01-01 00:00:00,2017-07-10 00:00:00,interesting reason
Physical Review Accelerators and Beams,2469-9888,Still in DOAJ index,physical review accelerators and beams,https://journals.aps.org/prab,DOAJ,1.0,1300-01-01 00:00:00,2016-05-24 00:00:00,interesting reason
Physical Review Physics Education Research,2469-9896,Still in DOAJ index,physical review physics education research,https://journals.aps.org/prper,DOAJ,1.0,1300-01-01 00:00:00,2016-05-24 00:00:00,interesting reason
Physical Review Research,2643-1564,Still in DOAJ index,physical review research,https://journals.aps.org/prresearch/,DOAJ,1.0,1300-01-01 00:00:00,2021-10-11 00:00:00,interesting reason
Physical Sciences and Technology,2409-6121,Still in DOAJ index,physical sciences and technology,https://phst.kaznu.kz/index.php/journal/index,DOAJ,1.0,1300-01-01 00:00:00,2021-09-29 00:00:00,interesting reason
Physical Treatments,2423-5830,Still in DOAJ index,physical treatments,http://ptj.uswr.ac.ir,DOAJ,1.0,1300-01-01 00:00:00,2020-05-22 00:00:00,interesting reason
Physics,2624-8174,Still in DOAJ index,physics,https://www.mdpi.com/journal/physics,DOAJ,1.0,1300-01-01 00:00:00,2019-11-20 00:00:00,interesting reason
Physics Communication,2528-5971,Still in DOAJ index,physics communication,https://journal.unnes.ac.id/nju/index.php/pc,DOAJ,1.0,1300-01-01 00:00:00,2017-08-21 00:00:00,interesting reason
Physics Education Research Journal,2714-7746,Still in DOAJ index,physics education research journal,https://journal.walisongo.ac.id/index.php/perj/index,DOAJ,1.0,1300-01-01 00:00:00,2021-11-11 00:00:00,interesting reason
Physics Letters B,0370-2693,Still in DOAJ index,physics letters b,http://www.journals.elsevier.com/physics-letters-b/,DOAJ,1.0,1300-01-01 00:00:00,2015-02-24 00:00:00,interesting reason
Physics Open,2666-0326,Still in DOAJ index,physics open,https://www.journals.elsevier.com/physics-open,DOAJ,1.0,1300-01-01 00:00:00,2020-09-25 00:00:00,interesting reason
Physics and Imaging in Radiation Oncology,2405-6316,Still in DOAJ index,physics and imaging in radiation oncology,https://www.journals.elsevier.com/physics-and-imaging-in-radiation-oncology/,DOAJ,1.0,1300-01-01 00:00:00,2017-10-31 00:00:00,interesting reason
Physics in Medicine,2352-4510,Still in DOAJ index,physics in medicine,https://www.journals.elsevier.com/physics-in-medicine/,DOAJ,1.0,1300-01-01 00:00:00,2018-08-31 00:00:00,interesting reason
Physics of Complex Systems,2687-153X,Still in DOAJ index,physics of complex systems,https://physcomsys.ru/,DOAJ,1.0,1300-01-01 00:00:00,2021-10-05 00:00:00,interesting reason
Physiological Research,0862-8408,Still in DOAJ index,physiological research,http://www.biomed.cas.cz/physiolres/index.html,DOAJ,1.0,1300-01-01 00:00:00,2019-03-17 00:00:00,interesting reason
PhytoChem & BioSub Journal,2170-1768,Still in DOAJ index,phytochem & biosub journal,http://pcbsj.webs.com/,DOAJ,1.0,1300-01-01 00:00:00,2016-01-13 00:00:00,interesting reason
Phytobiomes Journal,2471-2906,Still in DOAJ index,phytobiomes journal,https://apsjournals.apsnet.org/journal/pbiomes,DOAJ,1.0,1300-01-01 00:00:00,2018-10-26 00:00:00,interesting reason
Phytomedicine Plus,2667-0313,Still in DOAJ index,phytomedicine plus,https://www.journals.elsevier.com/phytomedicine-plus/,DOAJ,1.0,1300-01-01 00:00:00,2021-04-12 00:00:00,interesting reason
Phytopathologia Mediterranea,0031-9465,Still in DOAJ index,phytopathologia mediterranea,https://oajournals.fupress.net/index.php/pm/index,DOAJ,1.0,1300-01-01 00:00:00,2017-03-09 00:00:00,interesting reason
Phytopathology Research,2524-4167,Still in DOAJ index,phytopathology research,https://phytopatholres.biomedcentral.com/,DOAJ,1.0,1300-01-01 00:00:00,2019-06-07 00:00:00,interesting reason
Pielęgniarstwo XXI Wieku,2450-646X,Still in DOAJ index,pielęgniarstwo xxi wieku,https://www.degruyter.com/view/j/pielxxiw,DOAJ,1.0,1300-01-01 00:00:00,2017-02-04 00:00:00,interesting reason
Pielęgniarstwo i Zdrowie Publiczne,2082-9876,Still in DOAJ index,pielęgniarstwo i zdrowie publiczne,http://www.pzp.umed.wroc.pl/en/home/,DOAJ,1.0,1300-01-01 00:00:00,2019-03-19 00:00:00,interesting reason
Pigment International,2349-5847,Still in DOAJ index,pigment international,http://www.pigmentinternational.com,DOAJ,1.0,1300-01-01 00:00:00,2018-08-22 00:00:00,interesting reason
Pilot and Feasibility Studies,2055-5784,Still in DOAJ index,pilot and feasibility studies,http://www.pilotfeasibilitystudies.com/,DOAJ,1.0,1300-01-01 00:00:00,2015-09-15 00:00:00,interesting reason
Pinter: Jurnal Pendidikan Teknik Informatika dan Komputer,2597-4475,Still in DOAJ index,pinter: jurnal pendidikan teknik informatika dan komputer,http://journal.unj.ac.id/unj/index.php/pinter/index,DOAJ,1.0,1300-01-01 00:00:00,2018-03-19 00:00:00,interesting reason
Piramida,1907-3275,Still in DOAJ index,piramida,http://ojs.unud.ac.id/index.php/piramida,DOAJ,1.0,1300-01-01 00:00:00,2016-04-18 00:00:00,interesting reason
Pistis & Praxis: Teologia e Pastoral,1984-3755,Still in DOAJ index,pistis & praxis: teologia e pastoral,https://periodicos.pucpr.br/index.php/pistispraxis/index,DOAJ,1.0,1300-01-01 00:00:00,2014-10-10 00:00:00,interesting reason
Pitannâ Lìteraturoznavstva,2306-2908,Still in DOAJ index,pitannâ lìteraturoznavstva,http://pytlit.chnu.edu.ua/,DOAJ,1.0,1300-01-01 00:00:00,2017-10-30 00:00:00,interesting reason
Pitágoras 500,2237-387X,Still in DOAJ index,pitágoras 500,http://periodicos.sbu.unicamp.br/ojs/index.php/pit500,DOAJ,1.0,1300-01-01 00:00:00,2019-06-24 00:00:00,interesting reason
Pixo,2526-7310,Still in DOAJ index,pixo,https://periodicos.ufpel.edu.br/ojs2/index.php/pixo,DOAJ,1.0,1300-01-01 00:00:00,2018-04-26 00:00:00,interesting reason
Pizhūhish dar Bihdāsht-i Muḥīṭ.,2423-5202,Still in DOAJ index,pizhūhish dar bihdāsht-i muḥīṭ.,http://jreh.mums.ac.ir/,DOAJ,1.0,1300-01-01 00:00:00,2018-02-01 00:00:00,interesting reason
Pizhūhish dar Āmūzish-i ̒ulūm-i Pizishkī,2008-7284,Still in DOAJ index,pizhūhish dar āmūzish-i ̒ulūm-i pizishkī,http://rme.gums.ac.ir/index.php?slc_lang=en,DOAJ,1.0,1300-01-01 00:00:00,2017-10-18 00:00:00,interesting reason
Pizhūhish va Nuāvarī dar ̒Ulūm va Sanāyi̒-i Ghaz̠āyī,2252-0937,Still in DOAJ index,pizhūhish va nuāvarī dar ̒ulūm va sanāyi̒-i ghaz̠āyī,http://journals.rifst.ac.ir/,DOAJ,1.0,1300-01-01 00:00:00,2017-12-25 00:00:00,interesting reason
Pizhūhish va barnāmah/rīzī-i rūstāyī,2322-2514,Still in DOAJ index,pizhūhish va barnāmah/rīzī-i rūstāyī,https://jrrp.um.ac.ir/,DOAJ,1.0,1300-01-01 00:00:00,2016-11-01 00:00:00,interesting reason
Pizhūhish-i Naft,2345-2900,Still in DOAJ index,pizhūhish-i naft,http://pr.ripi.ir,DOAJ,1.0,1300-01-01 00:00:00,2017-10-23 00:00:00,interesting reason
Pizhūhish/Nāmah-i Tafsīr va Zabān-i Qurān,2322-3804,Still in DOAJ index,pizhūhish/nāmah-i tafsīr va zabān-i qurān,http://quran.journals.pnu.ac.ir,DOAJ,1.0,1300-01-01 00:00:00,2018-01-17 00:00:00,interesting reason
Pizhūhish/hā-yi Falsafī- Kalāmī,1735-9791,Still in DOAJ index,pizhūhish/hā-yi falsafī- kalāmī,http://pfk.qom.ac.ir,DOAJ,1.0,1300-01-01 00:00:00,2017-12-13 00:00:00,interesting reason
Pizhūhish/hā-yi Irtibāṭī,2538-2977,Still in DOAJ index,pizhūhish/hā-yi irtibāṭī,http://cr.iribresearch.ir/,DOAJ,1.0,1300-01-01 00:00:00,2018-01-17 00:00:00,interesting reason
Pizhūhish/hā-yi Rūstāyī,2008-7373,Still in DOAJ index,pizhūhish/hā-yi rūstāyī,https://jrur.ut.ac.ir,DOAJ,1.0,1300-01-01 00:00:00,2017-12-13 00:00:00,interesting reason
Pizhūhish/hā-yi Salāmat/miḥvar,2423-7639,Still in DOAJ index,pizhūhish/hā-yi salāmat/miḥvar,,DOAJ,1.0,1300-01-01 00:00:00,2018-02-08 00:00:00,interesting reason
Pizhūhish/nāmah-i Mabānī-i Ta̒līm va Tarbiyat.,2251-6360,Still in DOAJ index,pizhūhish/nāmah-i mabānī-i ta̒līm va tarbiyat.,http://fedu.um.ac.ir/index.php/education/index,DOAJ,1.0,1300-01-01 00:00:00,2018-06-27 00:00:00,interesting reason
Pizhūhishhā-yi zirā̒ī-i Īrān,2008-1472,Still in DOAJ index,pizhūhishhā-yi zirā̒ī-i īrān,,DOAJ,1.0,1300-01-01 00:00:00,2016-11-10 00:00:00,interesting reason
Pizhūhishhā-yi ̒ulum-i dāmī-i Īrān,2008-3106,Still in DOAJ index,pizhūhishhā-yi ̒ulum-i dāmī-i īrān,,DOAJ,1.0,1300-01-01 00:00:00,2016-11-10 00:00:00,interesting reason
Pizhūhishnāmah-i Iqtiṣād-i Inirzhī-i Īrān,2423-5954,Still in DOAJ index,pizhūhishnāmah-i iqtiṣād-i inirzhī-i īrān,http://jiee.atu.ac.ir/,DOAJ,1.0,1300-01-01 00:00:00,2017-03-16 00:00:00,interesting reason
Pl.it,2384-9266,Still in DOAJ index,pl.it,https://plitonline.it/,DOAJ,1.0,1300-01-01 00:00:00,2017-08-24 00:00:00,interesting reason
PlaNext,2468-0648,Still in DOAJ index,planext,http://journals.aesop-planning.eu/,DOAJ,1.0,1300-01-01 00:00:00,2020-03-27 00:00:00,interesting reason
Plant Biotechnology Journal,1467-7652,Still in DOAJ index,plant biotechnology journal,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-7652,DOAJ,1.0,1300-01-01 00:00:00,2016-11-14 00:00:00,interesting reason
Plant Biotechnology Persa,2676-7414,Still in DOAJ index,plant biotechnology persa,http://pbp.medilam.ac.ir/index.php?sid=1&slc_lang=en,DOAJ,1.0,1300-01-01 00:00:00,2020-03-09 00:00:00,interesting reason
Plant Breeding and Seed Science,2083-599X,Still in DOAJ index,plant breeding and seed science,,DOAJ,1.0,1300-01-01 00:00:00,2016-08-18 00:00:00,interesting reason
Plant Communications,2590-3462,Still in DOAJ index,plant communications,https://www.cell.com/plant-communications/home,DOAJ,1.0,1300-01-01 00:00:00,2020-05-18 00:00:00,interesting reason
Plant Direct,2475-4455,Still in DOAJ index,plant direct,https://onlinelibrary.wiley.com/journal/24754455,DOAJ,1.0,1300-01-01 00:00:00,2018-06-13 00:00:00,interesting reason
